"gene_id","hms_id","class_min","Approved.Symbol"
5585,10138,10,"PKN1"
5586,10138,10,"PKN2"
5587,10138,10,"PRKD1"
5588,10138,3,"PRKCQ"
5592,10138,10,"PRKG1"
5593,10138,2,"PRKG2"
5594,10138,10,"MAPK1"
5595,10138,10,"MAPK3"
5596,10138,10,"MAPK4"
5597,10138,10,"MAPK6"
5598,10138,10,"MAPK7"
5599,10138,3,"MAPK8"
5600,10138,10,"MAPK11"
5601,10138,3,"MAPK9"
5602,10138,10,"MAPK10"
5603,10138,10,"MAPK13"
5604,10138,3,"MAP2K1"
5605,10138,3,"MAP2K2"
5606,10138,2,"MAP2K3"
5607,10138,10,"MAP2K5"
5608,10138,10,"MAP2K6"
5609,10138,10,"MAP2K7"
5610,10138,10,"EIF2AK2"
5613,10138,3,"PRKX"
5747,10138,3,"PTK2"
5753,10138,10,"PTK6"
5871,10138,3,"MAP4K2"
5894,10138,10,"RAF1"
5979,10138,2,"RET"
6011,10138,2,"GRK1"
6093,10138,1,"ROCK1"
6098,10138,10,"ROS1"
6195,10138,2,"RPS6KA1"
6196,10138,2,"RPS6KA2"
6197,10138,3,"RPS6KA3"
6198,10138,10,"RPS6KB1"
6300,10138,10,"MAPK12"
6416,10138,3,"MAP2K4"
6714,10138,10,"SRC"
6725,10138,10,"SRMS"
6732,10138,3,"SRPK1"
6733,10138,10,"SRPK2"
6787,10138,10,"NEK4"
6788,10138,10,"STK3"
6789,10138,10,"STK4"
6790,10138,3,"AURKA"
6792,10138,10,"CDKL5"
6793,10138,10,"STK10"
6794,10138,10,"STK11"
6795,10138,3,"AURKC"
6850,10138,10,"SYK"
6885,10138,2,"MAP3K7"
7006,10138,10,"TEC"
7010,10138,10,"TEK"
7016,10138,10,"TESK1"
7046,10138,10,"TGFBR1"
7048,10138,10,"TGFBR2"
7075,10138,10,"TIE1"
7086,10138,10,"TKT"
7272,10138,2,"TTK"
7294,10138,10,"TXK"
7297,10138,1,"TYK2"
7301,10138,3,"TYRO3"
7444,10138,3,"VRK2"
7465,10138,10,"WEE1"
7525,10138,10,"YES1"
7535,10138,10,"ZAP70"
7786,10138,10,"MAP3K12"
8394,10138,10,"PIP5K1A"
8396,10138,10,"PIP4K2B"
8408,10138,2,"ULK1"
8428,10138,10,"STK24"
8445,10138,3,"DYRK2"
8476,10138,10,"CDC42BPA"
8491,10138,10,"MAP4K3"
8536,10138,2,"CAMK1"
8550,10138,10,"MAPKAPK5"
8569,10138,10,"MKNK1"
8573,10138,3,"CASK"
8576,10138,2,"STK16"
8621,10138,10,"CDK13"
8711,10138,10,"TNK1"
8737,10138,10,"RIPK1"
8767,10138,10,"RIPK2"
8780,10138,3,"RIOK3"
8814,10138,10,"CDKL1"
8899,10138,10,"PRPF4B"
8986,10138,2,"RPS6KA4"
8999,10138,10,"CDKL2"
9024,10138,10,"BRSK2"
9064,10138,10,"MAP3K6"
9088,10138,10,"PKMYT1"
9113,10138,10,"LATS1"
9149,10138,3,"DYRK1B"
9175,10138,10,"MAP3K13"
9201,10138,1,"DCLK1"
9212,10138,3,"AURKB"
9252,10138,2,"RPS6KA5"
9261,10138,10,"MAPKAPK2"
9262,10138,3,"STK17B"
9263,10138,3,"STK17A"
9344,10138,2,"TAOK2"
9448,10138,3,"MAP4K4"
9475,10138,1,"ROCK2"
9578,10138,10,"CDC42BPB"
9641,10138,3,"IKBKE"
9706,10138,2,"ULK2"
9748,10138,10,"SLK"
9833,10138,3,"MELK"
9874,10138,10,"TLK1"
9891,10138,10,"NUAK1"
9943,10138,3,"OXSR1"
10000,10138,10,"AKT3"
