"SIGNOR ID";"COMPLEX NAME";"LIST OF ENTITIES"
SIGNOR-C175;"Av/b1 integrin";"P05556,  P06756"
SIGNOR-C176;"Av/b2 integrin";"P05107,  P06756"
SIGNOR-C177;"Av/b3 integrin";"P06756,  P05106"
SIGNOR-C178;"Av/b5 integrin";"P06756,  P18084"
SIGNOR-C179;"Av/b6 integrin";"P06756,  P18564"
SIGNOR-C180;Laminin-9;"P11047,  P55268,  Q16363"
SIGNOR-C181;Laminin-8;"Q16363,  P07942,  P11047"
SIGNOR-C182;Laminin-10;"O15230,  P11047,  P07942"
SIGNOR-C183;Laminin-1;"P25391,  P11047,  P07942"
SIGNOR-C184;Laminin-5;"Q13753,  Q16787,  Q13751"
SIGNOR-C185;"Av/b8 integrin";"P26012,  P06756"
SIGNOR-C186;"AE/b7 integrin";"P26010,  P38570"
SIGNOR-C187;"A4/b7 integrin";"P13612,  P26010"
SIGNOR-C189;SETDB1/NLK/CHD7;"Q9UBE8,  Q15047,  Q9P2D1"
SIGNOR-C190;"PAS complex";"Q92562,  Q08AM6,  Q9Y2I7"
SIGNOR-C191;"WRC complex";"Q8IZP0,  Q92558,  Q7L576,  Q9Y2A7,  Q8WUW1"
SIGNOR-C192;GATOR1;"Q12980,  Q8WTW4,  O75140"
SIGNOR-C194;AMP-ChREBP;"Q9NP71,  CID:6083"
SIGNOR-C195;CLOCK/ARNTL;"O15516,  O00327"
SIGNOR-C198;SNAIL/RELA/PARP1;"P09874,  Q04206,  O95863"
SIGNOR-C205;SMAD5/SMAD4;"Q99717,  Q13485"
SIGNOR-C206;SMAD8/SMAD4;"Q13485,  O15198"
SIGNOR-C207;"Neurofilament L/M";"P07196,  P07197"
SIGNOR-C208;"Neurofilament L/H";"P07196,  P12036"
SIGNOR-C209;Hemoglobin;"P69905,  P68871"
SIGNOR-C214;" Core Binding Factor complex";"Q01196,  Q13951"
