ID	symbol	synonyms	ensembl
3731	Sod1		ENSRNOG00000002115
3732	Sod2	MnSOD	ENSRNOG00000019048;ENSRNOG00055027354;ENSRNOG00060009412;ENSRNOG00065028871
3733	Sod3	EC-SOD	ENSRNOG00000003869;ENSRNOG00055011318;ENSRNOG00060016186;ENSRNOG00065003240
3734	Sord	SDH;XDH	ENSRNOG00000017291
3735	Sox10		ENSRNOG00000011305;ENSRNOG00055031334;ENSRNOG00060019038;ENSRNOG00065033091
3738	Sp1		ENSRNOG00000014084;ENSRNOG00055027129;ENSRNOG00060014868;ENSRNOG00065022366
3741	Sp4	HF-1b	ENSRNOG00000005472
3742	Sparc	BM-40;ON	ENSRNOG00000012840
3745	Serpina3l	Ab1-021;CPi-23;LOC299282;SPI-1;SPI-2.1;SPI1;Spin1;Spin2a	ENSRNOG00000010478;ENSRNOG00065015247
3747	Serpina3n	CPi-26;MGC93363;SPI-3;SPI3;Spi-2.2;Spin2c;Spin3	ENSRNOG00000010478;ENSRNOG00000029949;ENSRNOG00055031674;ENSRNOG00060004529;ENSRNOG00065014139
3748	Serpine2	CRG;GDN;Gdnpn1;PI-7;Pn-1;Spin4	ENSRNOG00000015461
3749	Spink1	PSTI-61;PSTI-I;Psti-1;Spink3;Tilp	ENSRNOG00000013464;ENSRNOG00000068869;ENSRNOG00055018811;ENSRNOG00060011889;ENSRNOG00065019301
3750	Spn	Cd43;Lsn;Lsn1;gpL115	ENSRNOG00000036711
3751	Sptbn2	SPNB-3;Spnb3	ENSRNOG00000058842
3752	Spp1	LOC100359743;OSP;SPP-1	ENSRNOG00000043451;ENSRNOG00065012697
3753	Spr		ENSRNOG00000015455;ENSRNOG00055012862;ENSRNOG00060024409;ENSRNOG00065016616
3754	Spt1		ENSRNOG00000036825;ENSRNOG00000064464;ENSRNOG00000066132
3755	Sqle	SE	ENSRNOG00000009550;ENSRNOG00065002388;ENSRNOG00065004951
3757	Srd5a1	MGC156498;S5AR 1	ENSRNOG00000017601
3759	Sry	Sry1;Sry3;Sry3B;Sry3BI;Sry3C;Tdf;Tdy	ENSRNOG00000062090;ENSRNOG00055000859;ENSRNOG00060009789;ENSRNOG00065000251
3760	Ssbp1	Ssbp;mt-SSB;mtSSB	ENSRNOG00000012100
3761	Sst	SRIF;SS-14;SS-28;Smst	ENSRNOG00000001837;ENSRNOG00055004598;ENSRNOG00060013122;ENSRNOG00065003504
3762	Sstr1	Gpcrrna;RNGPCRRNA;SRIF-2;SS-1-R;SS1-R;SS1R	ENSRNOG00000048145;ENSRNOG00055013885;ENSRNOG00060020151;ENSRNOG00065005236
3763	Sstr2	SRIF-1;SS-2-R;SS2-R;SS2R;Smstr2	ENSRNOG00000002793;ENSRNOG00055032775;ENSRNOG00060023021;ENSRNOG00065019192
3764	Sstr4	SS-4-R;SS4-R;SS4R;Smstr4	ENSRNOG00000004641;ENSRNOG00055025636;ENSRNOG00060002122;ENSRNOG00065025398
3765	Sstr5	SS-5-R;SS5-R;SS5R;Smstr5	ENSRNOG00000018834
3767	Sult1a1	ASTIV;Mx-ST;PST-1;St1a1;Stm;Stp1;Sult1a3	ENSRNOG00000019342;ENSRNOG00055026108;ENSRNOG00060030085;ENSRNOG00065016720
3768	Sult1c3	HAST-I;LOC100910235;MGC108652;St1c1;Stp2;Sult1a2;Sult1c1	ENSRNOG00000011269;ENSRNOG00000047720;ENSRNOG00055018928;ENSRNOG00060017743;ENSRNOG00065014927
3770	Star	stARD1	ENSRNOG00000015052;ENSRNOG00055007764;ENSRNOG00060011537;ENSRNOG00065002803
3771	Stat1	DD6G4-4	ENSRNOG00000014079
3772	Stat3	MGC93551	ENSRNOG00000019742;ENSRNOG00055032275;ENSRNOG00060012887;ENSRNOG00065029490
3773	Stat5a	Stat5	ENSRNOG00000019496
3774	Stat5b		ENSRNOG00000019075
3775	Hspa13	Stch	ENSRNOG00000060979;ENSRNOG00055001176;ENSRNOG00060011657;ENSRNOG00065010813
3776	Sult1e1	EST-1;EST-3;ST1E1;Ste;Ste1;rEST-6;ste2	ENSRNOG00000001957
3779	Stk10		ENSRNOG00000004217
3780	Slk	SK2;Stk2	ENSRNOG00000011339
3781	Eef1a2	EEF1AL;EF-1-alpha-2;Ps10;RATPS10;STN;Stnl;eEF1A-2	ENSRNOG00000011624;ENSRNOG00000012477;ENSRNOG00055001118;ENSRNOG00060001221;ENSRNOG00065013809
3782	Strn		ENSRNOG00000004806
3783	Sts	ASC	ENSRNOG00000032487
3784	Stx1b	P35B;Stx1b2;Stx2	ENSRNOG00000019193;ENSRNOG00055029735;ENSRNOG00060024103;ENSRNOG00065015178
3785	Stxbp1	ANC18HA;Munc18-1;NSEC1A;Sec1;Unc18-1;n-sec1;nSec1;p67;rbSec1;rbSec1A;rbSec1B;unc-18-1;unc-18A	ENSRNOG00000015420;ENSRNOG00055006218;ENSRNOG00060033109;ENSRNOG00065025474
3786	Abcc8	Sur;Sur1	ENSRNOG00000021130;ENSRNOG00055006772;ENSRNOG00060011222;ENSRNOG00065008714
3787	Abcc9	LOC100360403;Sur2	ENSRNOG00000036960
3790	Semg1	SVS II;SVS2P;Svp1;Svs2;Svs2p2	ENSRNOG00000013776;ENSRNOG00065000402;ENSRNOG00065025858
3791	Svs4	ADP;LOC100909594;LOC103691965;RNSVSP4U;SVS IV;SVSIV1;Svp4	ENSRNOG00000013796;ENSRNOG00000046558;ENSRNOG00000068526
3794	Sycp1	SCP-1;SCP1	ENSRNOG00000016835;ENSRNOG00060030167;ENSRNOG00065030759
3795	Sycp3	LOC100362033;RNASCP3;SCP-3	ENSRNOG00000005270
3796	Syk	p72syk	ENSRNOG00000012160
3797	Syn1		ENSRNOG00000010365;ENSRNOG00055016372;ENSRNOG00060020591;ENSRNOG00065020264
3798	Syn2		ENSRNOG00000008157
3799	Syn3	LOC100910134	ENSRNOG00000026866;ENSRNOG00055021973;ENSRNOG00060026372;ENSRNOG00065024903
3801	Syngr1	p29	ENSRNOG00000017108;ENSRNOG00055029141;ENSRNOG00060031548;ENSRNOG00065033340
3802	Syp	Syp1	ENSRNOG00000059720
3803	Syt1	P65;sytI	ENSRNOG00000006426;ENSRNOG00055017023;ENSRNOG00060003698;ENSRNOG00065003237
3804	Syt2	RATSYNII;SYNII	ENSRNOG00000004756;ENSRNOG00055021595;ENSRNOG00060014883;ENSRNOG00065021046
3805	Syt3	SIII	ENSRNOG00000019318
3806	Syt5	MGC105442;sytV	ENSRNOG00000018217;ENSRNOG00055014573;ENSRNOG00060027168;ENSRNOG00065032466
3807	Tac1	PPT;PPTA3;Ppt5fl;RATPPTA3;TAC	ENSRNOG00000007374;ENSRNOG00000067502;ENSRNOG00055001856;ENSRNOG00060020569;ENSRNOG00065010762
3809	Tac3	Tac2	ENSRNOG00000004229
3810	Tacr3	NK-3R;Nkr;Nmkr;Tac3r	ENSRNOG00000009372;ENSRNOG00055011178;ENSRNOG00060020788;ENSRNOG00065015568
3811	Tacr1	NK-1R;SPR;Tac1r	ENSRNOG00000005853;ENSRNOG00055012086;ENSRNOG00060002187;ENSRNOG00065016627
3812	Tacr2	NK-2R;SKR;Tac2r	ENSRNOG00000050658;ENSRNOG00055014829;ENSRNOG00060007430;ENSRNOG00065003318
3813	Pvr	Taa1;Tage4	ENSRNOG00000019202
3817	Tap1	APT1;Abcb2;Cim;MGC124549;Tap2	ENSRNOG00000000457
3818	Tap2	APT2;Abcb3;Cim;LOC103689996;MGC108646	ENSRNOG00000000455;ENSRNOG00000046031
3819	Tapbp		ENSRNOG00000029500
3820	Tat		ENSRNOG00000016348;ENSRNOG00055021389;ENSRNOG00060012900;ENSRNOG00065012011
3821	Cntn2	TAG-1;TAG-564;TAG1;TAX-1;Tax	ENSRNOG00000009033
3825	Tbxa2r	TXA2-R;TXR2	ENSRNOG00000020585;ENSRNOG00055032858;ENSRNOG00060031270;ENSRNOG00065021776
3826	Tbxas1	TXS	ENSRNOG00000007918;ENSRNOG00055030925;ENSRNOG00060008792;ENSRNOG00065016795
3827	Eloa	El;MGC93501;SIII p110;Tceb3	ENSRNOG00000010902
3828	Hnf1a	HNF-1-alpha;HNF-1A;HNF1;LF-B1;Lfb1;TCF-1;Tcf1	ENSRNOG00000001183;ENSRNOG00055002002;ENSRNOG00060007240;ENSRNOG00065006331
3829	Tcf12	SCBP alpha;SCBP-alpha;SCBPA;TCF-12	ENSRNOG00000057754
3830	Hnf1b	HNF-1-beta;HNF-1B;LF-B3;MGC93549;TCF-2;Tcf2;VHNF1	ENSRNOG00000002598
3831	Zeb1	TCF-8;Tcf8;Zfhx1a;deltaEF1;zfhep	ENSRNOG00000017863;ENSRNOG00055011066;ENSRNOG00060013531;ENSRNOG00065021132
3832	Tcp1	CCTalpha;Tcp-1	ENSRNOG00000014160;ENSRNOG00055027559;ENSRNOG00060009583;ENSRNOG00065029039
3834	Tcrb	MGC108929;MGC109620;MGC116333;RATTCB;RATTCBC1;TCB;TCBC1	
3836	Phlda1	Tdag	ENSRNOG00000004019
3838	Prdx2	TSA;Tdpx1	ENSRNOG00000003520
3841	Tef	LOC100910463	ENSRNOG00000019383;ENSRNOG00055028339;ENSRNOG00060030458;ENSRNOG00065028597
3842	Tmbim6	Ab1-011;Ac1-149;BI-1;Cc1-27;Tegt	ENSRNOG00000055579
3845	Tf	MGC93500;Tfn;Trf	ENSRNOG00000030625;ENSRNOG00055011836;ENSRNOG00060008627;ENSRNOG00065007831
3846	Tfec	TFE-C;Tcfec;rTFEC	ENSRNOG00000061595;ENSRNOG00055017991;ENSRNOG00060000796;ENSRNOG00065007741
3847	Tff3	ITF;rITF;rP1.B	ENSRNOG00000001159
3848	Tg	LOC102550922;Tgn	ENSRNOG00000006104
3849	Tgfa		ENSRNOG00000016182
3850	Tsc22d1	LOC100912462;LOC498545;MGC156831;TS22A;TSC-22;Tgfb1i4	ENSRNOG00000001030
3851	Tgfb3	MGC105479;TGF-B3	ENSRNOG00000009867;ENSRNOG00055027439;ENSRNOG00060017762;ENSRNOG00065025249
3852	Tgfbr1	Alk5;LOC103690035;MGC93659;Skr4;Tgfr-1;tbetaR-I	ENSRNOG00000007036;ENSRNOG00000050760
3853	Th	The	ENSRNOG00000020410;ENSRNOG00055030903;ENSRNOG00060031396;ENSRNOG00065032083
3854	H2ac1	Hist1h2aa;Th2a	ENSRNOG00000048122;ENSRNOG00000065352;ENSRNOG00055005444;ENSRNOG00060014894;ENSRNOG00065022128
3855	H2bc1	ENSRNOG00000069905;Hist1h2ba;Th2b	ENSRNOG00000016865;ENSRNOG00000069905;ENSRNOG00055005449;ENSRNOG00060014901;ENSRNOG00065023038
3857	Thra	C-erbA-alpha;ERBA1;Thra1;c-erbA-1;c-erbA-alpha2;c-erbAalpha2	ENSRNOG00000009066
3858	Thrb	C-erba-beta;ERBA2;Nr1a2;RATT3REC;T3rec;TRbeta2Delta;c-erbA-2	ENSRNOG00000006649
3859	Thrsp	Lpgp;S14;SPOT14	ENSRNOG00000012404
3860	Thy1	CD7;CD90	ENSRNOG00000006604;ENSRNOG00055020020;ENSRNOG00060019171;ENSRNOG00065022864
3862	Timm17a	MGC72274;Tim17;Timm17	ENSRNOG00000007040
3863	Timm23	MGC93478	ENSRNOG00000019811;ENSRNOG00000031285;ENSRNOG00000032900
3864	Timm44		ENSRNOG00000001058
3865	Timp3	TIMP-3	ENSRNOG00000004303
3866	Nkx2-1	TTF-1;TTF1;Titf1	ENSRNOG00000008644;ENSRNOG00055013596;ENSRNOG00060021194;ENSRNOG00065005186
3868	Tle4	Esp2;Grg-4	ENSRNOG00000013239
3869	Tep1	Tlp1;p230;p240;rTLP1	ENSRNOG00000051706
3870	Tlr4	toll4	ENSRNOG00000010522
3874	Tmod1	E-Tmod;Tmod	ENSRNOG00000009761
3875	Tmpo	LAP2	ENSRNOG00000008797;ENSRNOG00055022267;ENSRNOG00060029835;ENSRNOG00065025951
3876	Tnf	LOC103694380;MGC124630;RATTNF;TNF-a;TNF-alpha;Tnfa	ENSRNOG00000000837;ENSRNOG00000055156;ENSRNOG00000070745;ENSRNOG00055008022;ENSRNOG00060004712;ENSRNOG00065031842
3877	Tnfaip1	Edp1	ENSRNOG00000009069;ENSRNOG00055025958;ENSRNOG00060019827;ENSRNOG00065023400
3879	Tnfrsf8	Cd30	ENSRNOG00000016782
3880	Faslg	Apt1Lg1;CD95-L;Fasl;Tnfsf6;Tnlg1a	ENSRNOG00000002978;ENSRNOG00055017740;ENSRNOG00060008590;ENSRNOG00065019821
3882	Tnnt2	CTTG;Ctt;RATCTTG;Tnnt3;cTnT;tnTc	ENSRNOG00000033734
3883	Tnnt3	Tnt;fTnT;tnTf	ENSRNOG00000020332
3884	Tnp1	STP-1;TP-1	ENSRNOG00000017611
3885	Tnp2	TP-2;TP2	ENSRNOG00000002566
3886	Tnr	J1NRM;TN-R	ENSRNOG00000002468
3887	Tnxa-ps1	Tnxa	
3888	Klk1c2	KLK2;Klna1;RSKG-5;Ton;rGK-2	ENSRNOG00000029237;ENSRNOG00000068685;ENSRNOG00055005801;ENSRNOG00060011050;ENSRNOG00065029884
3889	Tp53	MGC112612;Trp53;p53	ENSRNOG00000010756;ENSRNOG00055030460;ENSRNOG00060028077;ENSRNOG00065000306;ENSRNOG00065026731
3895	Tph1	Tph	ENSRNOG00000011672;ENSRNOG00055006768;ENSRNOG00060011408;ENSRNOG00065008776
3896	Tpi1	LOC100911515;MGC156639;TIM;Tpi	ENSRNOG00000015290;ENSRNOG00000050669
3898	Tpm1	Alpha-tm;Tma2;Tmsa;tropomyosin 3;tropomyosin 3, alpha	ENSRNOG00000018184;ENSRNOG00055026478;ENSRNOG00060018824;ENSRNOG00065007328
3899	Tpm4	TM-4;Tpm4.2;Tpm4.2cy	ENSRNOG00000015496;ENSRNOG00055010361;ENSRNOG00060010959;ENSRNOG00065021866
3900	Tpo		ENSRNOG00000004646
3903	Trh	Pro-TRH;THR;TRH01;Trf	ENSRNOG00000011824;ENSRNOG00055004440;ENSRNOG00060027963;ENSRNOG00065025008
3904	Trhr	TRH-R	ENSRNOG00000005048
3905	Trnan1	Asp- Gly- Glu- and Leu-tRNAs cluster;RATTGDCL;RNTRNA;TGDCL;TRN;TRNA;Tr@;Traggl;Trnegl	
3907	Clu	APOJ;CLI;DAG;RATTRPM2B;SGP-2;SGP2;SP-40;SP40;TRPM-2;TRPM2B;Trpm2;Trpmb	ENSRNOG00000016460
3908	Tsc2	Rc	ENSRNOG00000011375
3909	Tsg101	Rw	ENSRNOG00000013381
3910	Tshb	TSH-B;TSH-beta	ENSRNOG00000016793;ENSRNOG00055019928;ENSRNOG00060030141;ENSRNOG00065030749
3911	Tshr	TSH-R;TSHRA	ENSRNOG00000003972
3912	Tspy1	Tspy;rTSPY	ENSRNOG00000054648;ENSRNOG00055000692;ENSRNOG00060008676;ENSRNOG00065000210
3913	Tst		ENSRNOG00000000186
3914	Tsx		ENSRNOG00000002925;ENSRNOG00000037919
3915	Ttpa	LOC100909929;TTP	ENSRNOG00000007139
3916	Ttr	LR1;TT;Tbpa	ENSRNOG00000016275;ENSRNOG00055018337;ENSRNOG00060012581;ENSRNOG00065015173
3918	Tub		ENSRNOG00000046566;ENSRNOG00055024226;ENSRNOG00060017593;ENSRNOG00065028463
3920	Tnfrsf4	MRC OX40;Ox40;Txgp1	ENSRNOG00000020106;ENSRNOG00055014258;ENSRNOG00060004741;ENSRNOG00065010350
3921	Tyms	MGC156654;TS	ENSRNOG00000037225;ENSRNOG00055007718;ENSRNOG00060004837;ENSRNOG00065009297
3923	Tyro3	Brt	ENSRNOG00000058586
3925	Uba1y	Ube1y;Ube1y1	ENSRNOG00000052326;ENSRNOG00000063279
3926	Ube2i	MGC105476;Ubc9;UbcE2A	ENSRNOG00000017907;ENSRNOG00000066579;ENSRNOG00055025408;ENSRNOG00060008795;ENSRNOG00065009392
3927	Ubtf	LOC679205;Tcfubf;UBF-1	ENSRNOG00000020937;ENSRNOG00055028247;ENSRNOG00060014300;ENSRNOG00065031267
3928	Uchl1	PGP 9.5;PGP9.5;UCH-L1	ENSRNOG00000002343;ENSRNOG00055017886;ENSRNOG00060015531;ENSRNOG00065013924
3929	Ucn		ENSRNOG00000006090;ENSRNOG00055019865;ENSRNOG00060013274;ENSRNOG00065022893
3930	Uts2	U-II;UII;Ucn2	ENSRNOG00000018393;ENSRNOG00055014889;ENSRNOG00060003537;ENSRNOG00065009593
3931	Ucp1	LOC100909612;MGC108736;UCP 1;Ucp;Ucpa;Uncp	ENSRNOG00000003580;ENSRNOG00000046239;ENSRNOG00055007544;ENSRNOG00060013476;ENSRNOG00065010414
3932	Ucp2	UCP 2	ENSRNOG00000017854;ENSRNOG00065024250
3933	Ucp3	UCP 3	ENSRNOG00000017716;ENSRNOG00055027608;ENSRNOG00060002901;ENSRNOG00065024116
3934	Scgb1a1	CC10;CC16;CCPBP;CCSP;PCBB;Ugb	ENSRNOG00000020196;ENSRNOG00055017842;ENSRNOG00060033198;ENSRNOG00065033930
3935	Ugt1a1	B1;UDPGT 1-1;UGT1*1;UGT1-01;UGT1.1;Udpgt;Ugt1	ENSRNOG00000018740;ENSRNOG00055010715;ENSRNOG00060010379;ENSRNOG00065020996
3936	Ugt2b	LOC688226;RLUG23;UDPGT 2B2;UDPGTr-4;Ugt2b2	ENSRNOG00000046540;ENSRNOG00000069670
3937	Ugt2b37	Ugt2b5	ENSRNOG00000046540
3938	Ugt8	CGalT;Ugt8a	ENSRNOG00000009345;ENSRNOG00055025244;ENSRNOG00060002891;ENSRNOG00065014436
3940	Umod	THP	ENSRNOG00000015557
3942	Unc119	RRG4;Uncl19	ENSRNOG00000011060;ENSRNOG00055024705;ENSRNOG00060030366;ENSRNOG00065023074
3943	Pgc	PG1;Pg-1;Upg1	ENSRNOG00000014492;ENSRNOG00055008647
3946	Urod	UPD;URO-D;porphyrinogen carboxy-lyase	ENSRNOG00000018211
3947	Utrn	DRP-1	ENSRNOG00000011058
3948	Vamp1	Syb1;VAMP-1	ENSRNOG00000019219
3949	Vamp2	SYB;Syb2;VAMP-2	ENSRNOG00000006989;ENSRNOG00055032376;ENSRNOG00060030134;ENSRNOG00065025916
3950	Vars1	Bat6;G7a;TrsVal;Vars;Vars2;valRS	ENSRNOG00000000867
3951	Vav1	Vav;p95	ENSRNOG00000050430
3952	Vcam1	LOC100912479;MGC108734;V-CAM 1;VCAM-1;VCAM1B	ENSRNOG00000014333
3953	Smr3b	Arp;P2-VA1;RATSMR1A;RNSMR1G;Smr1;Smr1g;VCS-alpha 1;Vcsa1	ENSRNOG00000001942
3954	Vcsa2	VCS-alpha2	ENSRNOG00000001945
3959	Vdr	Nr1i1	ENSRNOG00000054420
3960	Vhl	Vhlh;pVHL	ENSRNOG00000010258;ENSRNOG00055009089;ENSRNOG00060013774;ENSRNOG00065028191
3961	Vipr1	LOC501076;MGC95067;PACAP-R-2;PACAP-R2;RGD1564352;VIP-R-1	ENSRNOG00000047457;ENSRNOG00055002566;ENSRNOG00060020985;ENSRNOG00065000481
3962	Vipr2		ENSRNOG00000004317;ENSRNOG00055005107;ENSRNOG00060014602;ENSRNOG00065007208
3963	Vldlr	VLDL-R	ENSRNOG00000027491
3965	Trpv2	MGC105451;OTRPC2;VRL-1;Vrl1	ENSRNOG00000003104
3966	Vsnl1	MGC105475;NVL-1;NVP-1;NVP1;RATNVP1	ENSRNOG00000005345;ENSRNOG00055005616;ENSRNOG00060003772;ENSRNOG00065005407
3967	Vtn	Aa1018;MGC124961;Vn	ENSRNOG00000010031
3970	Foxn1	Foxn1_mapped;RONU;Rnu;Whn	ENSRNOG00000010870
3972	Wnt3	INT4;Wnt3_mapped	ENSRNOG00000003845
3974	Wt1		ENSRNOG00000013074
3976	Xrcc5	Ku80;Kup80	ENSRNOG00000016105
3977	Yes1	LOC363300;MGC94936;Yes;c-Yes;p60c-yes;p61-Yes	ENSRNOG00000037227
3978	Ywhah	14-3-3e;MGC93547	ENSRNOG00000055471;ENSRNOG00055025540;ENSRNOG00060028018;ENSRNOG00065028196
3979	Ywhaq	14-3-3t	ENSRNOG00000051650;ENSRNOG00055005734;ENSRNOG00060008854;ENSRNOG00065010266
3980	Ywhaz	14-3-3z;KCIP-1	ENSRNOG00000008195;ENSRNOG00055024124;ENSRNOG00060009040;ENSRNOG00065003648
3982	Yy1	NF-E1;NMP-1;NMP1;UCRBP	ENSRNOG00000004339
3983	Zap70	MGC108902;Srk;Zap70_mapped	ENSRNOG00000016995
3986	Rnf112	Bfb;Bfp;Zfp179;Znf179	ENSRNOG00000002364
3988	Map3k12	DLK;MUK;PK;Zpk	ENSRNOG00000015134
61276	Crhr1	CRF-R;CRF-R-1;CRF-R1;CRF1;CRFR-1;CRFR1;CRH-R;CRH-R 1;CRH-R-1;CRH-R1	ENSRNOG00000004900;ENSRNOG00055028694;ENSRNOG00060014769;ENSRNOG00065031411
61296	Aoc1	Abp;Abp1;DAO	ENSRNOG00000008575
61306	Hspb1	HSP 27;Hsp25;Hsp27	ENSRNOG00000023546
61307	Ncf1	LOC100912379;Ncf-1;p47phox	ENSRNOG00000001480
61308	Flt3	LOC304265	ENSRNOG00000054764
61312	Timp2	MGC105282;TIMP-2	ENSRNOG00000003148;ENSRNOG00000033143;ENSRNOG00055031858;ENSRNOG00060030518;ENSRNOG00065004980
61313	Pter	Rpr-1;Rpr1	ENSRNOG00000017328;ENSRNOG00055011291;ENSRNOG00060009159;ENSRNOG00065007353
61318	Cd69		ENSRNOG00000056783
61797	Prkn	Park;Park2	ENSRNOG00000055547
61798	P2ry4	P2Y4	ENSRNOG00000002953;ENSRNOG00000070777;ENSRNOG00055029214;ENSRNOG00060023391;ENSRNOG00065016678
61799	Kcnq4		ENSRNOG00000060435
61800	Htr2a	5-HT-2;5-HT-2A;5-HT2A;5Ht-2	ENSRNOG00000010063;ENSRNOG00055014961;ENSRNOG00060016970;ENSRNOG00065008875
61801	Htr2b	5-HT-2B;5-HT-2F;5-HT2B	ENSRNOG00000017625;ENSRNOG00065020494
61802	Gdi2	GDI-2;GDI-3;Gdi3	ENSRNOG00000018091;ENSRNOG00055018597;ENSRNOG00060018121;ENSRNOG00065003474
61803	Vapa	VAMP-A;VAP-33;VAP-A	ENSRNOG00000014765;ENSRNOG00055019784;ENSRNOG00060004846;ENSRNOG00065019212
61804	Map6	145-kDa STOP;MAP-6;Mtap6;STOP;STOP145	ENSRNOG00000027204
61805	Fgf7	FGF-7;Fgf5b;HBGF-7;KGF/FGF7;Kgf	ENSRNOG00000009425
61806	Ecel1	Dine	ENSRNOG00000019447
61807	Foxm1		ENSRNOG00000005936
61808	Faah		ENSRNOG00000011019;ENSRNOG00000045949;ENSRNOG00055031772;ENSRNOG00060027493;ENSRNOG00065016061
61809	Gfra2	Retl2	ENSRNOG00000014010
61810	Ctsk		ENSRNOG00000021155
61811	Fcgrt	FcRn	ENSRNOG00000020583;ENSRNOG00055005666;ENSRNOG00060008172;ENSRNOG00065028717
61812	Pxmp2	PMP 22;T44	ENSRNOG00000037446;ENSRNOG00055001674;ENSRNOG00060005903;ENSRNOG00065006688
61813	Ftl1	Ftl	ENSRNOG00000020843;ENSRNOG00000064385;ENSRNOG00000065602;ENSRNOG00055006597;ENSRNOG00060010240;ENSRNOG00065030587
61814	Pex2	PAF-1;Pxmp3	ENSRNOG00000008748
61815	Npvf	Rfrp	ENSRNOG00000010806
61816	Actn4		ENSRNOG00000020433;ENSRNOG00055033301;ENSRNOG00060032369;ENSRNOG00065034058
61817	Col1a1	COLIA1	ENSRNOG00000003897;ENSRNOG00055032354;ENSRNOG00060019866;ENSRNOG00065020003
61818	Htr3a	5-HT-3;5-HT3;5-HT3-A;5-HT3A;5-HT3R;5HT3;Htr3	ENSRNOG00000006595
61819	Pdpn	E11;Gp38;OTS-8;RTI140;RTI40;T1-alpha;T1A	ENSRNOG00000014961;ENSRNOG00065026882
61820	Htr3b	5-HT-3B;5-HT3-B;5-HT3B	ENSRNOG00000006920
61821	Tgfbr3	TGFR-3	ENSRNOG00000002093;ENSRNOG00055024620;ENSRNOG00060010131;ENSRNOG00065013029
61822	Kcnj10	BIR10;BIRK1;kir4.1	ENSRNOG00000007705;ENSRNOG00000068444;ENSRNOG00055021910;ENSRNOG00060022823;ENSRNOG00065026536
61823	Rnase4	RL3;Rab1	ENSRNOG00000025625;ENSRNOG00000051860;ENSRNOG00055024574;ENSRNOG00060026945;ENSRNOG00065032343
61824	Kcnj16	BIR9;Kir5.1	ENSRNOG00000004713
61825	Tcea2		ENSRNOG00000016288
61826	Chkb	CK;CKB;CKEKB;Chetk;Chkl;EK	ENSRNOG00000011404;ENSRNOG00055012136;ENSRNOG00060030157;ENSRNOG00065017121
61827	Kcnab1	KvBeta3;MGC105463	ENSRNOG00000056697;ENSRNOG00055004540;ENSRNOG00060001239;ENSRNOG00065027103
61828	Kcnab2		ENSRNOG00000011550
61829	Ptma		ENSRNOG00000018584
61830	Kcnab3		ENSRNOG00000008480;ENSRNOG00055032773;ENSRNOG00060019763;ENSRNOG00065026266
61831	Treh		ENSRNOG00000052010
61832	Atn1	Drpla;LOC100911672	ENSRNOG00000049575;ENSRNOG00000060594
61833	Nrgn	BICKS;RC3;ng	ENSRNOG00000010688;ENSRNOG00055009766;ENSRNOG00060011886;ENSRNOG00065016951
61834	Fdft1	MGC93486;SQS;SS	ENSRNOG00000021314;ENSRNOG00065030182
61835	Fkbp1b		ENSRNOG00000047143;ENSRNOG00055018861;ENSRNOG00060012567;ENSRNOG00065022664
61836	Clcn7	ClC-7	ENSRNOG00000016976
61837	Cd200r1	Mox2r	ENSRNOG00000039048;ENSRNOG00055003530;ENSRNOG00060007303;ENSRNOG00065008594
61838	Tgm1	TG(K);TGK;TGase K;TGase-1	ENSRNOG00000020136;ENSRNOG00055012630;ENSRNOG00060024135;ENSRNOG00065033433
61839	Luzp1	Luzp	ENSRNOG00000022402
61840	Slc28a2	CNT 2;LOC102556085;SPNT;rCNT2	ENSRNOG00000028668;ENSRNOG00000052651
61841	Psma1		ENSRNOG00000011745
61842	Psma2		ENSRNOG00000049920;ENSRNOG00055011092;ENSRNOG00060014611;ENSRNOG00065018439
61843	Ybx1	Byb1;CBF-A;Cbfa;Dbpb;EFI-A;Ef1a;Msy1;Nsep1;YB-1;Yb1	ENSRNOG00000023786
61844	Psma3	Psma3l	ENSRNOG00000007851;ENSRNOG00055009458;ENSRNOG00060006748;ENSRNOG00065007205
61845	Gfer	ALR;LOC100912596	ENSRNOG00000013370
61846	Psma4		ENSRNOG00000013493;ENSRNOG00055031315;ENSRNOG00060015027;ENSRNOG00065018362
61847	Gpam	GPAT;GPAT-1	ENSRNOG00000015124
61848	Psma5		ENSRNOG00000019868
61849	Psma6	MGC72876	ENSRNOG00000007114;ENSRNOG00055013444;ENSRNOG00060020304;ENSRNOG00065005071
61850	F10	MGC108722	ENSRNOG00000033444
61851	Psma7	MGC156537	ENSRNOG00000056853
61852	Gcm1	Gcma	ENSRNOG00000007932;ENSRNOG00055006686;ENSRNOG00060018836;ENSRNOG00065016639
61853	Gpc1	HSPG M12;HSPGM12	ENSRNOG00000049437
61854	Zranb2	Zfp265;Zis;Znf265	ENSRNOG00000009990;ENSRNOG00055028755;ENSRNOG00060001849;ENSRNOG00065002586
61855	Gabra1		ENSRNOG00000003512;ENSRNOG00055005301;ENSRNOG00060021305;ENSRNOG00065001344
61856	Gabra2		ENSRNOG00000002349
61857	Clic4		ENSRNOG00000018109
61858	Grk4	Gprk2l	ENSRNOG00000011847;ENSRNOG00055016786;ENSRNOG00060022523;ENSRNOG00065031984
61859	Gabra5		ENSRNOG00000010803
61860	Gng7	Hg3b	ENSRNOG00000019857
61861	Gabra6		ENSRNOG00000003569
