ID	symbol	synonyms	ensembl
41184129	LOC120101599		
41184133	LOC120101175		ENSRNOG00000070998
41184218	LOC120098355		ENSRNOG00000065859
41184221	LOC120102437		
41184270	LOC120095372	U6	ENSRNOG00000058532
41184370	LOC120094259		
41184374	LOC120095444	AABR07029275.2;AABR07029275.3	ENSRNOG00000059399
41184450	Rac1l	LOC120096621	
41184525	LOC120097849		
41184641	Rps11-ps6	LOC120095959	
41184806	Btf3-ps4	LOC120099274	
41184862	LOC120097512		
41184903	Rnu6-173	LOC120101169;U6	ENSRNOG00000055120
41184906	LOC120096462	U6	ENSRNOG00000052155
41184907	LOC120101260	ENSRNOG00000068223	ENSRNOG00000068223
41184943	LOC120101307	Gm22778	ENSRNOG00000056123
41184973	LOC120101466		
41185038	LOC120103190		ENSRNOG00000066976
41185069	LOC120100292		ENSRNOG00000063641
41185075	LOC120094796		
41185079	LOC120101129	U4	ENSRNOG00000054960
41185080	LOC120099499		ENSRNOG00000065841
41185184	LOC120099448	Gm25624	ENSRNOG00000052095
41185192	LOC120096443		ENSRNOG00000062712
41185240	LOC120099458	U1	ENSRNOG00000059999
41185497	LOC120097005		
41185524	LOC120099348		
41185601	LOC120101860		
41185658	Elob-ps5	LOC120101895	
41185742	LOC120095465		ENSRNOG00000062630
41185800	LOC120093392		ENSRNOG00000067874
41185834	LOC120096846	U2	ENSRNOG00000070282
41185968	LOC120096051	5S_rRNA	ENSRNOG00000071017
41185969	LOC120099443	SNORA70	ENSRNOG00000061686
41185972	LOC120103599		
41185977	LOC120102856		
41185982	Ube2i-ps6	LOC120102209	
41185997	Hmgn4-ps7	LOC120097168	
41186043	LOC120095413	AABR07072127.1	ENSRNOG00000053569
41186084	LOC120098303		
41186103	LOC120100232	SNORD31	ENSRNOG00000056942
41186164	LOC120093471	AABR07065259.1	ENSRNOG00000056818
41186188	LOC120094275		
41186195	LOC120095396		ENSRNOG00000066339
41186256	LOC120102900		ENSRNOG00000064544
41186497	LOC120102811		
41186609	Tsnax-ps1	ENSRNOG00000064498;LOC120095541	ENSRNOG00000064498
41186776	LOC120100418	AC123083.1	ENSRNOG00000053464
41186789	LOC120101242	AC112445.1	ENSRNOG00000053243
41186790	LOC120097832		
41186807	LOC120093447	AABR07063852.2	ENSRNOG00000059972
41186810	LOC120099539	U2	ENSRNOG00000069164
41186811	LOC120095410	AABR07030607.1;Gm26236	ENSRNOG00000053545
41186814	Htd2		
41186844	LOC120093396	ENSRNOG00000065959	ENSRNOG00000065959
41186916	LOC120094521		ENSRNOG00000067629
41186981	LOC120098313		
41187093	Pck2-ps1	LOC120099135	
41187100	LOC120096293		
41187136	LOC120098046		ENSRNOG00000067597
41187174	LOC120097654	U6	ENSRNOG00000054526
41187176	Chtop-ps1	LOC120093272	
41187188	LOC120099286		
41187367	Zscan29-ps1	LOC120101640	
41187369	Duxl1	LOC120098892	
41187373	LOC120094241		
41187377	LOC120103211		ENSRNOG00000064797
41187398	LOC120098341	U6	ENSRNOG00000060679
41187403	LOC120098661		
41187448	LOC120102613	5_8S_rRNA	ENSRNOG00000067403
41187490	Mycbp-ps1	LOC120097704	
41187572	LOC120098441	U6	ENSRNOG00000054066
41187575	LOC120100958		
41187622	LOC120099523	U2	ENSRNOG00000070960
41187623	LOC120094354		
41187783	LOC120099963		
41187843	Hspa8-ps28	LOC120101011	
41187853	LOC120095539		ENSRNOG00000070128
