CAS	CHEBI
10310-32-4	91780
10311-84-9	82158
103112-35-2	81992
103124-63-6	79738
10314-90-6	67296
1031727-30-6	66842
1031727-36-2	65752
103177-37-3	94810
1031798-95-4	65649
1031799-03-7	65651
10318-26-0	135311
103192-53-6	28785
1032-65-1	15918
1032-65-1	57566
10321-12-7	135250
10323-20-3	17108
10323-20-3	46983
10323-20-3	46994
10325-94-7	77732
10326-27-9	86153
10326-41-7	42111
10328-92-4	59054
10329-41-6	1941
10329-75-6	74541
10329-98-3	90331
1032900-25-6	78432
103300-74-9	135653
10331-57-4	135460
1033110-57-4	71957
10334-26-6	36778
103361-09-7	8939
10338-51-9	9009
10339-60-3	89175
10339-73-8	58966
1034-01-1	83631
1034-10-2	30661
1034-41-9	17184
103404-57-5	67095
1034180-73-8	66662
103420-77-5	4460
10344-93-1	37080
10344-94-2	90146
103462-06-2	2022
10347-81-6	6691
103475-41-8	76277
103476-89-7	90629
103506-37-2	60178
10351-88-9	8177
10352-88-2	38364
103531-05-1	81431
103548-82-9	5770
10356-99-7	28132
103560-62-9	58972
103560-69-6	69704
10357-91-2	49087
103577-45-3	6375
103582-04-3	50483
103597-45-1	135865
103597-56-4	18225
103598-03-4	4856
10360-31-3	90399
10361-37-2	63317
10361-89-4	132107
10361-91-8	67096
10361-92-9	63020
103614-76-2	80731
103620-92-4	35058
103628-46-2	10650
103628-48-4	64359
103639-04-9	7774
103654-28-0	52483
1037-50-9	81722
103708-07-2	67301
103725-47-9	136015
10373-78-1	34607
10375-56-1	59455
10376-48-4	63459
103766-25-2	31652
10377-48-7	53474
10377-60-3	64736
103775-10-6	6960
103775-75-3	36143
10378-01-5	75623
10379-14-3	135198
1038-81-9	73970
10380-08-2	39949
10380-28-6	82028
1038397-16-8	65418
1038397-17-9	65419
1038596-65-4	65663
103878-83-7	31766
10389-73-8	134826
103890-78-4	135737
1039-17-4	34182
10390-14-4	137077
1039025-72-3	65832
1039025-75-6	65833
1039071-39-0	65358
1039071-49-2	65360
103909-75-7	31801
103913-16-2	86012
1039431-94-1	65376
103946-54-9	133486
103963-71-9	89312
10397-75-8	31702
103974-29-4	2355
103974-74-9	67950
104-01-8	55501
104-03-0	40443
104-06-3	134958
104-14-3	17134
104-14-3	44715
104-15-4	27849
104-22-3	135080
104-29-0	3642
104-31-4	3032
104-32-5	87462
104-40-5	34440
104-43-8	34402
104-45-0	88473
104-46-1	2716
104-46-1	35616
104-51-8	44194
104-54-1	17177
104-54-1	33227
104-57-4	3057
104-61-0	10575
104-62-1	87417
104-67-6	10580
104-76-7	16011
104-87-0	28617
104-88-1	28105
104-92-7	47257
104-93-8	89728
104-94-9	82388
104-98-3	30817
104-98-3	27248
104010-37-9	31383
10402-52-5	81259
10402-53-6	31551
10402-70-7	39150
10402-90-1	82716
104030-54-8	3434
104033-83-2	81075
104040-78-0	81749
10405-02-4	32270
10406-89-0	62193
10408-16-9	50028
1041183-11-2	65907
1041183-13-4	65908
1041183-15-6	65909
104121-92-8	73927
1041434-82-5	85196
104145-95-1	59343
1041464-43-0	66022
1041464-45-2	66023
1041640-66-7	68805
10417-94-4	28364
1041752-02-6	65639
10418-03-8	9249
1041854-75-4	65706
1041854-77-6	65707
1041854-78-7	65708
104186-14-3	8934
104196-14-7	75319
104196-68-1	66667
104206-65-7	50378
104206-82-8	38321
1042142-84-6	79097
104227-87-4	4974
1042719-97-0	71607
104273-73-6	83454
1043-10-3	34140
1043-21-6	32013
104302-77-4	28890
104344-23-2	3128
1043624-67-4	68287
104376-79-6	3514
104380-52-1	3872
104404-17-3	72956
104404-17-3	72961
104404-17-3	72962
104404-17-3	72966
104404-17-3	72968
104404-17-3	74450
104404-17-3	77996
104404-17-3	134548
104422-04-0	63988
104430-66-2	40666
104443-57-4	89635
104443-61-0	89636
10447-39-9	134746
10448-94-9	79756
104485-08-7	75570
1044869-32-0	66403
1044869-33-1	66404
1045-69-8	16524
10450-60-9	29150
104504-22-5	131828
10453-86-8	8811
10453-89-1	3680
10453-89-1	39100
10454-62-3	79708
104542-46-3	32280
104562-12-1	32281
10457-66-6	24233
10457-90-6	31305
10457-99-5	16758
1045722-06-2	66114
1045722-08-4	66112
1045722-10-8	66113
10458-14-7	36742
104594-70-9	8062
104600-89-7	80183
104613-44-7	132826
104615-18-1	131351
10463-61-3	34302
10463-84-0	6674
104632-25-9	51148
104632-26-0	8356
1046466-81-2	66709
10465-78-8	48958
104653-34-1	81893
10466-72-5	53698
1047-87-6	10026
10470-57-2	68635
10470-82-3	7440
104704-09-8	133485
104713-75-9	135793
104715-93-7	80772
104736-05-2	69761
10476-85-4	36383
104777-68-6	8256
104786-66-5	86145
104807-46-7	73452
104809-16-7	43977
10481-92-2	2688
10482-53-8	81167
10482-56-1	128
10485-66-2	41733
10485-70-8	80535
10486-00-7	30176
10486-19-8	89816
10486-91-6	53480
10489-79-9	37720
104931-87-5	31233
104975-19-1	137522
104987-11-3	61049
104987-12-4	29582
104993-28-4	61033
105-05-5	34062
105-11-3	82404
105-20-4	59170
105-34-0	51928
105-37-3	41330
105-41-9	134754
105-54-4	88764
105-55-5	82448
105-60-2	28579
105-66-8	89719
105-67-9	34241
105-68-0	87419
105-74-8	82479
105-79-3	87421
105-85-1	31406
105-86-2	31648
105-87-3	5331
105-92-0	35331
105-99-7	34686
1050-28-8	60989
1050-75-5	53162
1050-79-9	135500
10502-21-3	5763
105024-66-6	39393
10504-35-5	51384
1050405-18-9	65817
105102-22-5	6970
105124-96-7	50079
105124-97-8	50083
1051375-16-6	76010
1051375-19-9	76007
105149-00-6	81713
10516-71-9	88439
105172-95-0	65243
1052-38-6	87654
105206-44-8	52354
105219-56-5	31226
105239-91-6	3484
1052639-24-3	65611
1052639-25-4	65612
1053-73-2	17985
10533-67-2	50716
10534-89-1	63021
105369-89-9	81249
10537-47-0	82168
10539-19-2	135307
10539-87-4	66555
10539-88-5	66556
10540-29-1	41774
105431-72-9	34823
10544-02-2	31467
10544-50-0	29385
10544-72-6	29803
10544-73-7	29799
10546-70-0	84270
105462-24-6	8869
10547-30-5	53083
105496-34-2	83415
10550-80-8	6081
105500-09-2	34484
105512-06-9	132921
10552-74-6	82026
105554-27-6	6979
105597-95-3	81143
105608-32-0	3199
105613-48-7	31586
105618-26-6	81529
105628-07-7	31593
10563-26-5	39476
10563-70-9	31815
105650-23-5	76290
105688-62-8	83171
10569-72-9	27389
1057-07-4	34979
1057-47-2	60993
10571-59-2	135206
105735-71-5	82323
105748-59-2	38119
105748-60-5	6841
105762-42-3	7510
105772-90-5	65546
105779-78-0	38604
1058-55-5	79758
105802-46-8	52771
10581-37-0	32320
1058137-23-7	65209
105816-04-4	31897
105817-15-0	62464
105826-92-4	77570
105827-78-9	5870
105851-17-0	31617
1058636-11-5	66458
10588-01-9	39483
105897-30-1	1374
1059-14-9	9401
1059-21-8	63504
10590-85-9	9687
10592-13-9	652992
10592-17-3	17702
10593-78-9	28889
10595-95-6	82360
105956-97-6	94459
10596-23-3	110423
10597-46-3	74727
10597-60-1	68889
10597-89-4	47966
105979-17-7	135806
10599-90-3	82415
106-14-9	85208
106-22-9	50462
106-23-0	47856
106-24-1	17447
106-25-2	29452
106-26-3	29020
106-27-4	87422
106-28-5	16619
106-30-9	86618
106-32-1	87426
106-33-2	87427
106-34-3	26491
106-35-4	50139
106-36-5	89828
106-37-6	37150
106-41-2	47248
106-42-3	27417
106-43-4	34401
106-44-5	17847
106-46-7	28618
106-47-8	20331
106-48-9	28078
106-49-0	37825
106-50-3	51403
106-51-4	16509
106-57-0	16535
106-60-5	17549
106-67-2	89186
106-68-3	80946
106-70-7	77322
106-73-0	88620
106-87-6	59001
106-88-7	82326
106-89-8	37144
106-91-2	132844
106-93-4	28534
106-94-5	47105
106-97-8	37808
106-98-9	48362
106-99-0	39478
10602-14-9	18025
106032-17-1	50080
106032-53-5	27751
106040-48-6	83571
10605-21-7	3392
10606-14-1	17534
10606-72-1	78406
1060674-46-5	66051
106133-20-4	9398
106145-31-7	64822
106243-16-7	81391
106266-06-2	8871
1063-77-0	7609
106308-44-5	134966
106324-58-7	59537
106360-28-5	62415
106389-61-1	30598
106392-12-5	32026
106392-12-5	53515
1064-48-8	86230
106420-93-3	20415
106463-17-6	9399
1065-31-2	52971
1065124-65-3	87566
106516-24-9	9122
1065546-02-2	65498
1065546-06-6	65499
106560-14-9	51257
1066-17-7	37943
1066-26-8	55387
1066-42-8	23816
1066-51-9	28812
106610-60-0	223404
106610-61-1	132593
106635-80-7	135752
106650-56-0	9137
106685-40-9	31174
106692-36-8	133185
106700-29-2	83523
1067224-91-2	66120
1067224-92-3	66121
1067224-93-4	66122
1067224-94-5	66123
1067224-95-6	66124
106730-54-5	135019
1067461-19-1	66514
1067461-23-7	66515
106777-13-3	9237
106777-19-9	17541
106788-55-0	83298
106791-40-6	6958
1068-57-1	2422
1068-84-4	17475
106819-53-8	4707
106861-44-3	6959
1069-66-5	9925
1069-79-0	47766
106900-12-3	135795
106917-52-6	81801
106928-36-3	9646
106941-25-7	2469
107-00-6	48087
107-01-7	48363
107-02-8	15368
107-03-9	8473
107-04-0	19032
107-05-1	82379
107-06-2	27789
107-07-3	28200
107-10-8	39870
107-12-0	26307
107-13-1	28217
107-14-2	82416
107-15-3	30347
107-16-4	137685
107-18-6	16605
107-19-7	28905
107-20-0	27871
107-21-1	30742
107-22-2	34779
107-29-9	28465
107-30-2	82271
107-31-3	77699
107-35-7	15891
107-36-8	1157
107-38-0	28506
107-41-5	62995
107-43-7	17750
107-44-8	75701
107-46-0	78002
107-49-3	82149
107-50-6	87988
107-73-3	18132
107-73-3	61040
107-75-5	53459
107-85-7	43689
107-86-8	15825
107-87-9	16472
107-88-0	52683
107-92-6	30772
107-93-7	41131
107-95-9	16958
107-96-0	44111
107-97-1	15611
107-99-3	78155
1070-11-7	4878
1070-54-8	35985
1070-83-3	38647
107007-99-8	5538
107091-89-4	52293
107097-80-3	31785
1071-23-4	17553
1071-83-6	27744
107104-01-8	59014
107133-36-8	8025
1071868-68-2	67615
1072-52-2	82393
1072-83-9	59981
107221-01-2	138018
107233-08-9	3568
107254-86-4	34457
1072833-77-2	90942
1073-69-4	53660
1073-72-9	38862
107316-88-1	132314
1073242-96-2	66491
107368-95-6	81245
1074-59-5	73087
107438-79-9	5358
107452-89-1	135912
1075-61-2	10302
1075194-71-6	66647
107534-96-3	81781
1076-22-8	62207
1076-22-8	62208
1076-38-6	40070
107634-14-0	7085
107656-13-3	34495
107667-60-7	32024
1077-27-6	43796
1077-28-7	16494
107724-20-9	31547
107753-78-6	10100
107793-72-6	135884
1078-21-3	136039
