NCIT ID	Target NS	Target ID
C206	CHEBI	CHEBI:16708
C207	CHEBI	CHEBI:16335
C208	CHEBI	CHEBI:17489
C2081	CHEBI	CHEBI:62868
C2087	CHEBI	CHEBI:53746
C2089	CHEBI	CHEBI:37700
C209	CHEBI	CHEBI:15422
C210	CHEBI	CHEBI:50847
C2105	CHEBI	CHEBI:608828
C2109	CHEBI	CHEBI:53559
C212	CHEBI	CHEBI:3892
C213	CHEBI	CHEBI:22271
C2140	CHEBI	CHEBI:60809
C215	CHEBI	CHEBI:2549
C2151	CHEBI	CHEBI:63090
C2152	CHEBI	CHEBI:50914
C2155	CHEBI	CHEBI:63932
C2157	CHEBI	CHEBI:50445
C2160	CHEBI	CHEBI:52726
C217	CHEBI	CHEBI:17790
C218	CHEBI	CHEBI:23982
C218	CHEBI	CHEBI:30879
C219	CHEBI	CHEBI:27584
C2190	CHEBI	CHEBI:16236
C2194	CHEBI	CHEBI:50928
C221	CHEBI	CHEBI:22315
C2226	CHEBI	CHEBI:15948
C223	CHEBI	CHEBI:22333
C2233	CHEBI	CHEBI:351346
C224	CHEBI	CHEBI:40279
C226	CHEBI	CHEBI:41948
C2265	CHEBI	CHEBI:28689
C2267	CHEBI	CHEBI:16796
C227	CHEBI	CHEBI:2611
C2282	CHEBI	CHEBI:3892
C2283	CHEBI	CHEBI:7872
C2289	CHEBI	CHEBI:26764
C229	CHEBI	CHEBI:33389
C2290	CHEBI	CHEBI:17650
C2291	CHEBI	CHEBI:16962
C2292	CHEBI	CHEBI:28918
C2293	CHEBI	CHEBI:50114
C2294	CHEBI	CHEBI:17263
C2295	CHEBI	CHEBI:16469
C2296	CHEBI	CHEBI:50745
C2297	CHEBI	CHEBI:17026
C2298	CHEBI	CHEBI:50113
C2299	CHEBI	CHEBI:17347
C230	CHEBI	CHEBI:2638
C2300	CHEBI	CHEBI:16422
C2301	CHEBI	CHEBI:9460
C2303	CHEBI	CHEBI:11684
C2303	CHEBI	CHEBI:18258
C231	CHEBI	CHEBI:33709
C2311	CHEBI	CHEBI:22907
C2315	CHEBI	CHEBI:24621
C2319	CHEBI	CHEBI:50781
C2321	CHEBI	CHEBI:18357
C2322	CHEBI	CHEBI:50858
C2323	CHEBI	CHEBI:24261
C2324	CHEBI	CHEBI:25354
C2327	CHEBI	CHEBI:17154
C2328	CHEBI	CHEBI:3498
C233	CHEBI	CHEBI:2654
C2337	CHEBI	CHEBI:64103
C234	CHEBI	CHEBI:17549
C235	CHEBI	CHEBI:22526
C2354	CHEBI	CHEBI:64564
C2360	CHEBI	CHEBI:50786
C2363	CHEBI	CHEBI:22507
C237	CHEBI	CHEBI:51254
C238	CHEBI	CHEBI:2682
C239	CHEBI	CHEBI:28971
C2391	CHEBI	CHEBI:33325
C2392	CHEBI	CHEBI:29287
C2392	CHEBI	CHEBI:30050
C2392	CHEBI	CHEBI:52454
C240	CHEBI	CHEBI:2687
C241	CHEBI	CHEBI:35480
C242	CHEBI	CHEBI:35497
C244	CHEBI	CHEBI:16422
C245	CHEBI	CHEBI:38867
C247	CHEBI	CHEBI:35457
C2479	CHEBI	CHEBI:10415
C2480	CHEBI	CHEBI:35204
C2480	CHEBI	CHEBI:35209
C2481	CHEBI	CHEBI:59224
C250	CHEBI	CHEBI:35443
C251	CHEBI	CHEBI:35298
C25186	CHEBI	CHEBI:39025
C25187	CHEBI	CHEBI:39026
C253	CHEBI	CHEBI:22580
C254	CHEBI	CHEBI:35441
C2563	CHEBI	CHEBI:36009
C257	CHEBI	CHEBI:35475
C2581	CHEBI	CHEBI:6484
C2583	CHEBI	CHEBI:8892
C2586	CHEBI	CHEBI:27616
C2588	CHEBI	CHEBI:31797
C2591	CHEBI	CHEBI:17169
C25949	CHEBI	CHEBI:36807
C25951	CHEBI	CHEBI:18300
C25995	CHEBI	CHEBI:37416
C260	CHEBI	CHEBI:27933
C2603	CHEBI	CHEBI:4696
C261	CHEBI	CHEBI:25105
C26170	CHEBI	CHEBI:50267
C2629	CHEBI	CHEBI:63635
C263	CHEBI	CHEBI:50249
C2634	CHEBI	CHEBI:28544
C264	CHEBI	CHEBI:35623
C26451	CHEBI	CHEBI:40448
C265	CHEBI	CHEBI:35469
C26563	CHEBI	CHEBI:23995
C266	CHEBI	CHEBI:55323
C26638	CHEBI	CHEBI:47311
C26638	CHEBI	CHEBI:681569
C26641	CHEBI	CHEBI:3224
C26653	CHEBI	CHEBI:49603
C26657	CHEBI	CHEBI:16347
C26666	CHEBI	CHEBI:38666
C26667	CHEBI	CHEBI:10112
C26670	CHEBI	CHEBI:58987
C2668	CHEBI	CHEBI:63791
C267	CHEBI	CHEBI:50919
C2673	CHEBI	CHEBI:3759
C2678	CHEBI	CHEBI:28793
C268	CHEBI	CHEBI:59132
C2692	CHEBI	CHEBI:63721
C2693	CHEBI	CHEBI:53509
C270	CHEBI	CHEBI:35674
C271	CHEBI	CHEBI:38068
C2713	CHEBI	CHEBI:38927
C272	CHEBI	CHEBI:35221
C273	CHEBI	CHEBI:64911
C2737	CHEBI	CHEBI:49960
C274	CHEBI	CHEBI:35610
C275	CHEBI	CHEBI:22586
C276	CHEBI	CHEBI:35442
C277	CHEBI	CHEBI:35820
C280	CHEBI	CHEBI:33231
C281	CHEBI	CHEBI:22587
C28130	CHEBI	CHEBI:28217
C28131	CHEBI	CHEBI:27563
C28131	CHEBI	CHEBI:35826
C28136	CHEBI	CHEBI:36773
C28138	CHEBI	CHEBI:18135
C28140	CHEBI	CHEBI:23116
C28140	CHEBI	CHEBI:33432
C28141	CHEBI	CHEBI:37397
C28149	CHEBI	CHEBI:17051
C28153	CHEBI	CHEBI:18085
C28156	CHEBI	CHEBI:16240
C28157	CHEBI	CHEBI:27823
C28163	CHEBI	CHEBI:17268
C28164	CHEBI	CHEBI:60924
C28166	CHEBI	CHEBI:17716
C28178	CHEBI	CHEBI:26125
C28179	CHEBI	CHEBI:18154
C28188	CHEBI	CHEBI:26667
C28189	CHEBI	CHEBI:61459
C28191	CHEBI	CHEBI:26836
C28197	CHEBI	CHEBI:35474
C28199	CHEBI	CHEBI:33331
C282	CHEBI	CHEBI:15843
C28201	CHEBI	CHEBI:17574
C28201	CHEBI	CHEBI:8600
C28202	CHEBI	CHEBI:48107
C28203	CHEBI	CHEBI:26195
C28204	CHEBI	CHEBI:32035
C28235	CHEBI	CHEBI:35854
C2827	CHEBI	CHEBI:53188
C2831	CHEBI	CHEBI:17234
C2831	CHEBI	CHEBI:17634
C28313	CHEBI	CHEBI:51451
C2832	CHEBI	CHEBI:18145
C2833	CHEBI	CHEBI:30021
C284	CHEBI	CHEBI:46661
C285	CHEBI	CHEBI:29073
C287	CHEBI	CHEBI:15365
C28788	CHEBI	CHEBI:63486
C288	CHEBI	CHEBI:2038
C28801	CHEBI	CHEBI:17019
C28801	CHEBI	CHEBI:27613
C28804	CHEBI	CHEBI:2361
C28806	CHEBI	CHEBI:2380
C28809	CHEBI	CHEBI:27690
C28816	CHEBI	CHEBI:15544
C28818	CHEBI	CHEBI:2619
C28820	CHEBI	CHEBI:2669
C28822	CHEBI	CHEBI:51063
C28824	CHEBI	CHEBI:40050
C28825	CHEBI	CHEBI:142290
C28826	CHEBI	CHEBI:55345
C28827	CHEBI	CHEBI:2756
C28827	CHEBI	CHEBI:37510
C28833	CHEBI	CHEBI:48720
C28834	CHEBI	CHEBI:2896
C28835	CHEBI	CHEBI:31243
C28836	CHEBI	CHEBI:2904
C28837	CHEBI	CHEBI:2911
C28838	CHEBI	CHEBI:575568
C28839	CHEBI	CHEBI:2915
C28840	CHEBI	CHEBI:16684
C28845	CHEBI	CHEBI:161680
C28858	CHEBI	CHEBI:2972
C28863	CHEBI	CHEBI:3032
C28864	CHEBI	CHEBI:3049
C28865	CHEBI	CHEBI:51765
C28866	CHEBI	CHEBI:3085
C28871	CHEBI	CHEBI:3128
C28875	CHEBI	CHEBI:3213
C28876	CHEBI	CHEBI:31322
C28876	CHEBI	CHEBI:60789
C28900	CHEBI	CHEBI:50749
C28904	CHEBI	CHEBI:3419
C28905	CHEBI	CHEBI:3438
C28906	CHEBI	CHEBI:3441
C28910	CHEBI	CHEBI:474180
C28912	CHEBI	CHEBI:53667
C28913	CHEBI	CHEBI:474053
C28914	CHEBI	CHEBI:3485
C28916	CHEBI	CHEBI:3505
C28919	CHEBI	CHEBI:3559
C28922	CHEBI	CHEBI:28142
C28923	CHEBI	CHEBI:116735
C28924	CHEBI	CHEBI:3640
C28926	CHEBI	CHEBI:3655
C28931	CHEBI	CHEBI:50369
C28932	CHEBI	CHEBI:3724
C28934	CHEBI	CHEBI:31414
C28935	CHEBI	CHEBI:3756
C28936	CHEBI	CHEBI:3766
C28937	CHEBI	CHEBI:59599
C28938	CHEBI	CHEBI:59602
C28941	CHEBI	CHEBI:3901
C28946	CHEBI	CHEBI:128458
C28947	CHEBI	CHEBI:3996
C28948	CHEBI	CHEBI:4025
C28949	CHEBI	CHEBI:59695
C28949	CHEBI	CHEBI:650917
C28974	CHEBI	CHEBI:4379
C28975	CHEBI	CHEBI:59725
C28979	CHEBI	CHEBI:4449
C28981	CHEBI	CHEBI:4469
C28982	CHEBI	CHEBI:49575
C28984	CHEBI	CHEBI:247956
C28985	CHEBI	CHEBI:47381
C28986	CHEBI	CHEBI:4511
C28987	CHEBI	CHEBI:4515
C28989	CHEBI	CHEBI:31174
C28990	CHEBI	CHEBI:4551
C28992	CHEBI	CHEBI:4604
C28994	CHEBI	CHEBI:53074
C28995	CHEBI	CHEBI:59784
C28996	CHEBI	CHEBI:4667
C28997	CHEBI	CHEBI:4671
C290	CHEBI	CHEBI:2948
C29000	CHEBI	CHEBI:4674
C29003	CHEBI	CHEBI:4703
C29005	CHEBI	CHEBI:4709
C29007	CHEBI	CHEBI:34730
C29010	CHEBI	CHEBI:652992
C29015	CHEBI	CHEBI:4724
C29020	CHEBI	CHEBI:42309
C29023	CHEBI	CHEBI:28195
C29027	CHEBI	CHEBI:119486
C29029	CHEBI	CHEBI:28934
C29033	CHEBI	CHEBI:4878
C29036	CHEBI	CHEBI:4913
C29044	CHEBI	CHEBI:4974
C29045	CHEBI	CHEBI:4975
C29046	CHEBI	CHEBI:585948
C29047	CHEBI	CHEBI:5001
C29053	CHEBI	CHEBI:5108
C29058	CHEBI	CHEBI:31625
C29061	CHEBI	CHEBI:31441
C29070	CHEBI	CHEBI:5280
C29071	CHEBI	CHEBI:5296
C29073	CHEBI	CHEBI:5383
C29075	CHEBI	CHEBI:37878
C29076	CHEBI	CHEBI:5441
C29077	CHEBI	CHEBI:17754
C29081	CHEBI	CHEBI:5551
C29097	CHEBI	CHEBI:15571
C29099	CHEBI	CHEBI:5780
C291	CHEBI	CHEBI:35668
C29103	CHEBI	CHEBI:5818
C29104	CHEBI	CHEBI:17486
C29105	CHEBI	CHEBI:17368
C29116	CHEBI	CHEBI:5882
C29128	CHEBI	CHEBI:5957
C29130	CHEBI	CHEBI:5959
C29134	CHEBI	CHEBI:6061
C29142	CHEBI	CHEBI:650657
C29146	CHEBI	CHEBI:6343
C29148	CHEBI	CHEBI:6359
C29150	CHEBI	CHEBI:6375
C29151	CHEBI	CHEBI:6384
C29153	CHEBI	CHEBI:6439
C29158	CHEBI	CHEBI:63607
C29159	CHEBI	CHEBI:6503
C29171	CHEBI	CHEBI:18019
C292	CHEBI	CHEBI:22681
C29239	CHEBI	CHEBI:25107
C29242	CHEBI	CHEBI:31794
C29247	CHEBI	CHEBI:31812
C29249	CHEBI	CHEBI:6775
