Secondary	Primary
11481	18425
11482	18425
11483	17764
11484	17470
11485	16774
11486	15894
11487	16619
11488	17407
11489	15471
1149	52501
11490	17585
11491	17407
11492	16475
11493	16319
11494	17356
11495	16444
11496	36707
11497	16291
11498	36702
11499	16728
1150	28992
11500	17936
11501	17389
11503	33805
11504	29044
11505	29044
11506	16273
11507	17844
11508	16713
115086	3387
11509	18372
1151	18176
11510	17001
11511	17083
11512	15998
11513	18265
11514	15914
11516	18206
11517	15998
11518	17123
11519	17027
1152	17878
11520	15942
11521	15472
115217	39867
11522	17289
11523	17740
11524	16886
11525	15745
11526	15745
11527	18112
11528	15849
11529	16333
1153	28169
11530	36258
11531	36926
11532	16413
11533	16166
11534	16993
11535	17344
11536	17077
11537	17541
11538	17605
11539	17337
1154	50263
11540	28303
11541	18125
11543	15925
11544	18150
11545	16699
11546	18104
11547	17028
11548	17860
11549	17305
1155	28744
11550	17032
11551	15925
11552	18069
11553	16699
11554	16699
11555	35173
11556	37448
11557	35173
11558	18078
11559	16808
11560	16609
11562	18395
11564	16138
11565	15866
11566	16132
11567	18274
11568	18274
11569	15866
11570	16043
11571	17281
11572	16450
11574	16011
11575	17243
11576	18033
11577	16739
11578	15474
11579	16637
1158	28394
11580	28635
11581	15348
11582	16278
11583	16992
11584	17778
11585	17250
11586	17142
11587	17820
11588	17820
11589	17367
11590	17023
11591	17043
11592	15598
11593	36457
11595	17878
115958	6916
11597	15348
11598	17649
11599	17236
1160	17084
11600	15475
11601	16540
11602	16706
11603	16355
11604	17275
11605	17504
11606	17504
11607	16468
11608	17905
11609	16256
1161	28578
11610	16256
11611	18067
11612	16629
11613	15476
11615	16182
11616	15477
11617	17059
11618	15598
11619	15478
11620	16093
11621	17207
11622	36986
11623	17626
11624	16616
11625	17502
11626	15997
11627	48944
11628	17402
11629	15479
1163	16513
11630	17799
11631	16260
11632	16037
11633	18264
11634	35910
11635	15753
11636	16763
11637	16769
11638	16810
11639	17205
1164	28649
11640	35177
11642	18168
11643	17158
11644	15881
11645	17162
11646	16327
11647	16562
11648	15597
11649	16840
1165	17637
11650	16840
11651	17835
11652	17150
11653	18124
11654	16068
11655	17872
11657	17717
11658	17700
11659	15690
1166	28187
11660	28700
11661	16587
11662	17320
11663	17038
11664	29107
11665	17703
11666	28861
11667	29076
11668	27767
11669	16860
116696	27798
116697	16268
1167	28080
11670	18016
11671	18010
11672	18010
11673	17489
11674	17065
11675	16356
11676	27825
11677	15692
11678	17079
11679	17980
1168	17236
11680	17980
116809	20331
11681	37393
11682	16400
11683	28018
116847	4784
11685	27881
11686	16918
11687	27626
11688	16767
11689	15893
1169	28478
11690	15896
11691	16433
11692	16433
11693	15765
11694	36241
11695	18243
11696	17612
11697	17612
11698	29055
11699	17416
117	28827
1170	15475
11700	29053
11701	18258
11702	18258
11703	18184
11704	16243
117047	34444
11705	27544
11706	17192
11707	15788
11708	17136
11709	17131
11710	15768
11711	16145
11712	17580
11713	46951
11715	32618
11716	32618
11717	16281
11718	18136
11719	46957
1172	16540
11720	17807
11721	17993
11722	16122
11723	17131
11724	16126
11725	36242
11726	36659
11727	36242
11728	15480
11729	15480
1173	27930
11730	27384
11731	32591
11732	18117
11733	16515
11734	17186
11735	18007
11736	16426
11737	17406
11738	17640
11739	16357
1174	16706
11740	15851
11741	17559
11744	16575
11745	16575
11746	15754
11747	18411
11748	16936
11749	17511
1175	16355
11751	16775
11752	27989
11753	16110
11754	16061
11755	17446
11756	15345
11757	16939
11758	18090
11759	16989
11760	15592
11761	29094
11762	18003
11763	28635
11764	17693
11765	17214
11766	15749
11767	15749
11768	17589
11769	17092
11770	17403
11771	17231
11772	16934
11773	16934
11774	16622
11775	17429
11776	17862
11777	16142
11778	16943
11779	16758
11780	17058
11781	32364
11782	16630
11783	17862
11784	18238
11785	18150
11786	18150
11787	16064
11788	18069
11789	16064
1179	17275
11790	29071
11793	15468
11794	16572
11795	15591
11796	16854
11797	15968
11798	18081
11799	16835
1180	27469
11800	36559
11801	16569
11802	29216
11803	18298
11804	15821
11806	15481
11808	15821
11809	15482
1181	27664
11810	15483
11811	15483
11813	17325
11815	30960
11816	36558
11817	17126
11818	28630
11819	29086
11820	15786
11821	17419
11822	17652
11823	17380
11824	16601
11825	50446
11826	36559
11827	16207
11828	16193
11829	15484
11830	17069
11831	15688
11832	17611
11833	17445
11834	15485
11835	17871
11836	16510
11837	17180
11838	17685
11840	17545
11841	17566
11842	15976
11843	15592
11844	16728
11845	16727
11846	17919
11847	16208
11848	29749
11849	16860
1185	17905
11850	15951
11852	15825
11853	15486
11854	16638
11855	15837
11856	15487
11857	18404
11858	15486
11859	17920
1186	36491
11860	15488
11861	17397
11862	16696
11863	17610
11864	16348
11865	15593
11866	18084
11868	15489
11869	17353
1187	28955
11870	15775
11871	18267
11872	15490
11873	29743
11874	16404
11875	15491
11876	15492
11877	33190
11878	29039
11879	17794
11880	17794
11881	16001
11882	17050
11883	18110
11884	18110
11885	17271
11886	17052
11887	15594
11888	16345
11889	16345
11890	48291
11891	16894
11894	17687
11895	29747
11896	16466
11897	18402
11898	18402
11899	15493
1190	37450
11900	15755
11902	16577
11903	15494
11904	28195
11905	29744
11906	16317
11907	16286
11908	18134
11910	16229
11911	28689
11912	16814
11913	16099
11914	1734
11915	15335
11916	16858
11918	17294
11919	16455
1192	28038
11920	17813
11921	18364
11922	28059
11923	18267
11924	17199
11925	17204
11926	16372
11927	18093
11928	15495
11929	15934
1193	16256
11930	18243
11931	17442
11932	17442
11933	17619
11934	15863
11937	16098
11938	16578
11939	17903
1194	16629
11940	17903
11941	17467
11942	18316
11943	28469
11945	18336
119469	4882
11947	16245
11948	16245
11949	16447
1195	15476
11950	17335
11952	28684
11953	16629
11954	18032
11956	35181
11957	16892
11958	18032
11959	17836
11960	17769
11961	30566
11962	15496
11963	16607
11964	16422
11965	17424
11966	18046
11967	16321
119673	60943
11968	18046
11969	15497
1197	27434
11970	16754
11971	16766
119712	4779
11973	17861
11974	15498
11975	16237
11976	16237
11977	17346
11978	32373
11979	15499
1198	27724
11980	16428
11981	17847
11982	16655
11983	15931
11984	16735
11985	17117
11988	18034
11989	16671
1199	15478
11990	18062
11991	15728
11992	16711
11993	17742
11994	17655
11995	18351
11996	17068
11997	17801
11998	16338
11999	18240
12	15390
1200	16182
12000	28719
12001	17602
12002	17597
12003	17879
12004	15500
12005	15500
12006	16724
12007	32373
12008	32804
12009	18115
1201	15477
12010	16131
12011	18301
12012	15621
12013	15665
12014	18101
12015	16667
12016	36242
12017	16974
12018	17105
12019	16639
1202	17059
12020	17865
12021	17957
12022	17957
12023	17857
12024	17857
12025	17254
12026	17299
12027	16747
12028	17998
12029	16723
1203	30835
12030	17224
12031	17763
12032	17064
12033	16318
12034	16836
12035	17440
12036	15984
12037	16907
12038	16967
12039	15777
1204	15478
12041	37011
12042	30407
12043	30959
12044	16871
12045	16309
12046	18020
12047	16244
12049	16495
1205	17207
12050	18378
12051	30109
12052	15717
12053	15374
12054	17382
12055	17509
12056	16027
12057	17202
12058	16406
12059	17709
12061	17319
120616	52449
12062	16678
12063	17202
12064	17509
12065	16149
12066	16612
12067	17975
12068	15638
12069	15638
1207	17626
12070	17975
12072	16568
12073	16274
12074	15372
12075	15635
12076	17321
12077	28889
12078	15901
12079	17143
1208	27754
12080	16937
12081	16875
12082	15864
12083	16514
12084	18388
12085	17772
12086	17957
12087	16013
12088	16685
12089	17229
1209	16616
12090	17181
12091	16887
12092	16902
12093	17671
12094	16257
12095	17391
12096	15975
12097	16257
12098	16694
12099	15857
121	15412
1210	17502
12100	27735
12101	28843
12102	18406
12103	28413
12104	17572
12105	17147
12106	17881
12107	18247
12108	18337
1211	15997
12110	18120
12111	15887
12112	15924
12114	17142
12115	16669
12116	16925
12117	16369
