CHEBI	CHEMBL
4738	CHEMBL1371350
4740	CHEMBL1892145
4744	CHEMBL2269162
4745	CHEMBL510539
4747	CHEMBL230128
4753	CHEMBL1201341
4757	CHEMBL1200375
4759	CHEMBL1128
4762	CHEMBL1201037
4771	CHEMBL458690
4773	CHEMBL400927
4774	CHEMBL594153
4775	CHEMBL6246
4776	CHEMBL123
4777	CHEMBL3706997
4778	CHEMBL221137
4779	CHEMBL594
4781	CHEMBL50588
4783	CHEMBL464360
4784	CHEMBL578
4785	CHEMBL1200659
4786	CHEMBL577
4787	CHEMBL300337
4788	CHEMBL315838
4789	CHEMBL451983
4790	CHEMBL512400
4791	CHEMBL194399
4792	CHEMBL1257
4798	CHEMBL953
4800	CHEMBL87697
4803	CHEMBL298826
4804	CHEMBL2107538
4806	CHEMBL297453
4814	CHEMBL813
4815	CHEMBL451364
4819	CHEMBL227213
4820	CHEMBL1385840
4821	CHEMBL446315
4822	CHEMBL119443
4829	CHEMBL1080122
4835	CHEMBL2004232
4838	CHEMBL442947
4846	CHEMBL2218877
4850	CHEMBL1621815
4853	CHEMBL482581
4855	CHEMBL123248
4857	CHEMBL1201115
4858	CHEMBL285674
4866	CHEMBL1628111
4867	CHEMBL470671
4868	CHEMBL1575
4873	CHEMBL1200980
4874	CHEMBL270271
4876	CHEMBL456
4877	CHEMBL44884
4878	CHEMBL3140361
4883	CHEMBL284328
4884	CHEMBL1576
4885	CHEMBL1441
4886	CHEMBL203187
4887	CHEMBL696
4888	CHEMBL1095
4892	CHEMBL299599
4893	CHEMBL169176
4895	CHEMBL318196
4896	CHEMBL2229606
4902	CHEMBL1712170
4903	CHEMBL691
4904	CHEMBL492
4905	CHEMBL1200597
4906	CHEMBL1201042
4907	CHEMBL871
4909	CHEMBL622
4910	CHEMBL681
4911	CHEMBL44657
4913	CHEMBL464
4914	CHEMBL1076999
4916	CHEMBL450745
4917	CHEMBL42710
4918	CHEMBL108861
4920	CHEMBL437014
4921	CHEMBL250952
4922	CHEMBL521767
4925	CHEMBL484877
4928	CHEMBL3276960
4930	CHEMBL404627
4932	CHEMBL312750
4935	CHEMBL485296
4936	CHEMBL443462
4938	CHEMBL399672
4939	CHEMBL400347
4940	CHEMBL465181
4943	CHEMBL526357
4944	CHEMBL1081239
4946	CHEMBL389166
4947	CHEMBL1551939
4948	CHEMBL463165
4952	CHEMBL1416006
4953	CHEMBL1200374
4966	CHEMBL252709
4967	CHEMBL305942
4969	CHEMBL108084
4973	CHEMBL1973480
4974	CHEMBL880
4975	CHEMBL902
4982	CHEMBL1213003
4994	CHEMBL479432
4995	CHEMBL1094
4999	CHEMBL2268554
5000	CHEMBL87493
5001	CHEMBL672
5002	CHEMBL588
5003	CHEMBL1026
5004	CHEMBL1297
5005	CHEMBL2103736
5008	CHEMBL37932
5009	CHEMBL15780
5011	CHEMBL365100
5013	CHEMBL1492698
5014	CHEMBL492491
5050	CHEMBL914
5051	CHEMBL1200618
5059	CHEMBL2029617
5062	CHEMBL710
5066	CHEMBL3039234
5070	CHEMBL274318
5078	CHEMBL294009
5088	CHEMBL1493
5089	CHEMBL1200875
5091	CHEMBL1200822
5092	CHEMBL481060
5093	CHEMBL503519
5094	CHEMBL1507844
5098	CHEMBL222645
5100	CHEMBL1463
5102	CHEMBL1201010
5103	CHEMBL407
5104	CHEMBL1897630
5105	CHEMBL2287110
5106	CHEMBL1512
5107	CHEMBL509919
5108	CHEMBL1201390
5109	CHEMBL1501
5115	CHEMBL16070
5116	CHEMBL1892429
5120	CHEMBL1445
5122	CHEMBL63756
5123	CHEMBL726
5125	CHEMBL1200951
5126	CHEMBL1448187
5127	CHEMBL1201012
5128	CHEMBL968
5130	CHEMBL563
5131	CHEMBL2272973
5132	CHEMBL806
5134	CHEMBL1201396
5135	CHEMBL3185183
5136	CHEMBL350239
5138	CHEMBL814
5139	CHEMBL1409
5141	CHEMBL1308
5158	CHEMBL285518
5160	CHEMBL504363
5162	CHEMBL1200331
5163	CHEMBL3306578
5164	CHEMBL3188382
5165	CHEMBL1201336
5167	CHEMBL1172006
5168	CHEMBL496999
5169	CHEMBL54909
5171	CHEMBL485998
5188	CHEMBL445545
5193	CHEMBL2322569
5195	CHEMBL1374738
5196	CHEMBL2152487
5199	CHEMBL24510
5203	CHEMBL498296
5240	CHEMBL490386
5262	CHEMBL309490
5263	CHEMBL75772
5265	CHEMBL111469
5270	CHEMBL349509
5276	CHEMBL502489
5279	CHEMBL487992
5280	CHEMBL31
5283	CHEMBL457154
5292	CHEMBL278315
5293	CHEMBL523430
5296	CHEMBL457
5298	CHEMBL459016
5299	CHEMBL462894
5301	CHEMBL460031
5304	CHEMBL1945734
5313	CHEMBL467590
5321	CHEMBL508320
5323	CHEMBL361025
5324	CHEMBL3093478
5325	CHEMBL448800
5326	CHEMBL3330639
5328	CHEMBL506069
5331	CHEMBL1369384
5337	CHEMBL448125
5339	CHEMBL521150
5352	CHEMBL1086746
5353	CHEMBL377324
5354	CHEMBL445177
5355	CHEMBL2112174
5357	CHEMBL2112173
5358	CHEMBL2112172
5362	CHEMBL1377579
5363	CHEMBL1770687
5368	CHEMBL253998
5369	CHEMBL480477
5370	CHEMBL1997250
5371	CHEMBL458347
5372	CHEMBL510560
5373	CHEMBL228082
5380	CHEMBL2165001
5383	CHEMBL1481
5384	CHEMBL1073
5385	CHEMBL331627
5390	CHEMBL318315
5391	CHEMBL266481
5435	CHEMBL3763941
5439	CHEMBL1102
5441	CHEMBL472
5445	CHEMBL173813
5497	CHEMBL1604716
