C003360	25030-31-3
C003361	17615-73-5
C003363	1192-76-3
C003370	79121-49-6
C003372	11126-45-7
C003374	31644-48-1
C003379	27951-69-5
C003381	65900-34-7
C003387	2706-65-2
C003394	5821-53-4
C003410	31822-84-1
C003416	6611-01-4
C003417	33956-61-5
C003420	34280-28-9
C003421	34280-27-8
C003423	4302-95-8
C003424	79127-36-9
C003426	39027-78-6
C003431	79102-55-9
C003433	38264-97-0
C003439	35285-42-8
C003440	6540-78-9
C003441	13687-10-0
C003442	104-96-1
C003443	79028-53-8
C003444	19850-61-4
C003445	36238-43-4
C003450	53372-00-2
C003451	4090-29-3
C003452	79102-56-0
C003453	37339-66-5
C003456	34635-46-6
C003457	35022-18-5
C003463	39950-81-7
C003465	2217-60-9
C003488	19547-38-7
C003489	33445-17-9
C003491	3642-85-1
C003492	27442-58-6
C003493	14637-07-1
C003522	18211-54-6
C003523	1778-93-4
C003524	4075-07-4
C003528	571-36-8
C003530	1153-51-1
C003547	69381-96-0
C003567	34522-49-1
C003574	41469-88-9
C003591	78592-87-7
C003593	641-80-5
C003597	10536-01-3
C003603	35842-45-6
C003608	34429-70-4
C003609	39465-37-7
C003614	455-16-3
C003615	23668-90-8
C003616	63-99-0
C003617	23412-26-2
C003619	35050-55-6
C003622	78940-00-8
C003631	5301-05-3
C003635	13579-05-0
C003638	31602-26-3
C003639	26856-63-3
C003641	594-42-3
C003642	6642-07-5
C003643	17051-03-5
C003644	35394-49-1
C003645	14943-47-6
C003657	11051-45-9
C003658	18050-51-6
C003669	1236-09-5
C003673	12002-39-0
C003681	863-39-8
C003689	23595-00-8
C003696	12287-01-3
C003703	34346-90-2
C003705	1950-04-5
C003708	5392-23-4
C003709	23251-46-9
C003713	420-37-1
C003723	76-83-5
C003740	2382-48-1
C003745	23945-44-0
C003747	53237-59-5
C003750	25374-97-4
C003752	3547-60-2
C003753	2475-56-1
C003755	78920-39-5
C003757	16891-80-8
C003759	17567-74-7
C003760	1318-00-9
C003764	12650-41-8
C003766	52504-32-2
