Source Code	Target Coding Scheme	Target Code
C104944	HGNC	7434
C104948	HGNC	7468
C104951	HGNC	2364
C104954	HGNC	8754
C104956	HGNC	6595
C104960	HGNC	16762
C104963	HGNC	589
C104966	HGNC	8830
C104969	HGNC	10850
C104972	HGNC	9030
C104975	HGNC	4626
C104978	HGNC	2336
C104981	HGNC	19083
C104996	HGNC	18384
C104999	HGNC	10659
C105002	HGNC	10777
C105005	HGNC	10779
C105008	HGNC	10717
C105011	HGNC	8941
C105014	HGNC	10762
C105017	HGNC	29799
C105020	HGNC	11120
C105023	HGNC	11121
C105025	HGNC	28395
C105030	HGNC	10817
C105031	HGNC	14240
C105036	HGNC	32949
C105038	HGNC	17720
C105045	HGNC	19953
C105056	HGNC	21392
C105059	HGNC	10942
C105062	HGNC	11003
C105065	HGNC	11027
C105068	HGNC	11029
C105071	HGNC	10935
C105074	HGNC	10963
C105077	HGNC	13771
C105080	HGNC	11191
C105083	HGNC	15533
C105086	HGNC	11289
C105089	HGNC	20392
C105092	HGNC	11608
C105095	HGNC	18884
C105098	HGNC	15934
C105101	HGNC	11875
C105106	HGNC	14158
C105109	HGNC	12031
C105112	HGNC	11924
C105115	HGNC	17822
C105118	HGNC	18752
C105121	HGNC	11894
C105124	HGNC	3287
C105127	HGNC	7473
C105149	HGNC	5212
C105153	HGNC	23316
C105156	HGNC	5218
C105159	HGNC	11284
C105162	HGNC	25812
C105362	HGNC	613
C105372	HGNC	32119
C105375	HGNC	7808
C105377	HGNC	537
C105380	HGNC	1241
C105383	HGNC	8601
C105385	HGNC	11347
C105387	HGNC	12513
C105390	HGNC	8947
C105394	HGNC	1581
C105398	HGNC	7399
C105405	HGNC	7956
C105409	HGNC	7957
C105412	HGNC	7958
C105415	HGNC	10487
C105418	HGNC	384
C105421	HGNC	12546
C105424	HGNC	12547
C105427	HGNC	385
C105430	HGNC	10962
C105433	HGNC	5108
C105436	HGNC	5115
C105558	HGNC	12009
C105561	HGNC	2977
C105564	HGNC	3051
C105567	HGNC	11914
C105570	HGNC	13469
C105573	HGNC	12538
C105576	HGNC	12554
C105581	HGNC	14893
C105584	HGNC	14894
C105593	HGNC	14895
C105597	HGNC	12681
C105600	HGNC	15972
C105603	HGNC	14540
C105606	HGNC	11642
C105609	HGNC	9397
C105652	HGNC	21528
C105655	HGNC	26058
C105658	HGNC	6183
C105662	HGNC	7667
C105665	HGNC	4636
C105680	HGNC	6442
C105683	HGNC	28932
C105696	HGNC	13992
C105703	HGNC	19405
C105719	HGNC	21231
C105730	HGNC	2664
C105738	HGNC	10751
C105821	HGNC	5098
C105822	HGNC	5110
C105830	HGNC	3721
C105833	HGNC	24573
C105836	HGNC	838
C105839	HGNC	1044
C105842	HGNC	3227
C105845	HGNC	4096
C105848	HGNC	6763
C105854	HGNC	8896
C105857	HGNC	1394
C105860	HGNC	7764
C105863	HGNC	12541
C105866	HGNC	6517
C105869	HGNC	5286
C105872	HGNC	12008
C105875	HGNC	11050
C105878	HGNC	2025
C105901	HGNC	29450
C105919	HGNC	17470
C105923	HGNC	7
C105926	HGNC	24099
C105929	HGNC	3180
C105932	HGNC	19117
C105935	HGNC	6533
C105938	HGNC	15846
C105942	HGNC	9229
C105945	HGNC	11269
C105954	HGNC	30672
C105957	HGNC	11634
C105962	HGNC	14900
C105965	HGNC	21393
C105968	HGNC	11928
C105973	HGNC	5975
C105978	HGNC	6427
C105982	HGNC	6416
C105986	HGNC	31537
C105989	HGNC	31561
C105992	HGNC	11377
C105995	HGNC	939
C105998	HGNC	9956
C106002	HGNC	11378
C106004	HGNC	11583
C106008	HGNC	10728
C106009	HGNC	5998
C106013	HGNC	4161
C106016	HGNC	15995
C106019	HGNC	11276
C106022	HGNC	54
C106025	HGNC	3072
C106028	HGNC	11270
C106031	HGNC	603
C106034	HGNC	17241
C106059	HGNC	16098
C106062	HGNC	18591
C106065	HGNC	11220
C106068	HGNC	28583
C106071	HGNC	10447
C106081	HGNC	688
C106084	HGNC	28993
C106087	HGNC	26270
C106090	HGNC	9548
C106093	HGNC	6333
C106096	HGNC	12642
C106099	HGNC	28210
C106108	HGNC	16920
C106111	HGNC	9668
C106114	HGNC	9674
C106137	HGNC	1910
C106140	HGNC	2385
C106143	HGNC	17660
C106164	HGNC	6919
C106193	HGNC	8028
C106199	HGNC	4485
C106207	HGNC	6535
C106210	HGNC	868
C106213	HGNC	320
C106216	HGNC	18135
C106219	HGNC	18133
C106222	HGNC	28873
C106225	HGNC	9175
C106228	HGNC	20932
C106233	HGNC	9177
C106238	HGNC	9182
C106241	HGNC	9183
C106245	HGNC	18278
C106251	HGNC	9812
C106258	HGNC	9901
C106264	HGNC	9824
C106270	HGNC	5951
C106275	HGNC	8615
C106278	HGNC	9827
C106281	HGNC	21700
C106284	HGNC	14060
C106287	HGNC	14124
C106290	HGNC	12502
C106293	HGNC	11951
C106295	HGNC	12334
C106300	HGNC	12472
C106307	HGNC	12572
C106310	HGNC	20876
C106322	HGNC	11603
C106329	HGNC	6075
C106332	HGNC	10997
C106335	HGNC	10998
C106338	HGNC	12488
C106341	HGNC	22202
C106344	HGNC	6387
C106347	HGNC	3218
C106350	HGNC	16744
C106353	HGNC	10662
C106356	HGNC	18365
C106359	HGNC	16052
C106362	HGNC	16820
C106365	HGNC	21649
C106414	HGNC	33499
C106417	HGNC	812
C106420	HGNC	4847
C106423	HGNC	4137
C106426	HGNC	13408
C106434	HGNC	20038
C106437	HGNC	7883
C106440	HGNC	9498
C106443	HGNC	2865
C106446	HGNC	5956
C106449	HGNC	9171
C106452	HGNC	4165
C106455	HGNC	26937
C106458	HGNC	14263
C106462	HGNC	1105
C106466	HGNC	15973
C106474	HGNC	489
C106489	HGNC	487
C106494	HGNC	1637
C106583	HGNC	2908
C106585	HGNC	21306
C106589	HGNC	11063
C106592	HGNC	1692
C106595	HGNC	2578
C106598	HGNC	7972
C106601	HGNC	1095
C106604	HGNC	30215
C106607	HGNC	6842
C106609	HGNC	10732
C106612	HGNC	6767
C106615	HGNC	10959
C106618	HGNC	10961
C106622	HGNC	6857
C106636	HGNC	15573
C106639	HGNC	21367
C106642	HGNC	18453
C107105	HGNC	13389
C107108	HGNC	115
C107111	HGNC	7063
C107114	HGNC	2214
C107117	HGNC	13291
C107120	HGNC	1915
C107123	HGNC	17294
C107126	HGNC	29149
C107129	HGNC	6147
C107132	HGNC	3971
C107135	HGNC	7675
C107421	HGNC	30911
C107425	HGNC	6809
C107437	HGNC	4298
C107442	HGNC	11453
C107445	HGNC	2460
C107448	HGNC	4086
C107452	HGNC	16715
C107455	HGNC	4066
C107458	HGNC	786
C107461	HGNC	10922
C107464	HGNC	10925
C107467	HGNC	30521
C107470	HGNC	1818
C107473	HGNC	7969
C107476	HGNC	3312
C107553	HGNC	439
C107557	HGNC	2635
C107572	HGNC	9456
C107575	HGNC	10966
C107578	HGNC	10934
C107584	HGNC	5964
C107611	HGNC	11246
C107614	HGNC	283
C107617	HGNC	12437
C107620	HGNC	18155
C107623	HGNC	12397
C107626	HGNC	6415
C107647	HGNC	20456
C107650	HGNC	18505
C107653	HGNC	10360
C107656	HGNC	17284
C107659	HGNC	7879
C107662	HGNC	11424
C107665	HGNC	21729
C107668	HGNC	1805
C111792	HGNC	8909
C111796	HGNC	17755
C111803	HGNC	10888
C111807	HGNC	10890
C111813	HGNC	10891
C111819	HGNC	16234
C111820	HGNC	11008
C111821	HGNC	5278
C111824	HGNC	251
C111827	HGNC	18071
C111831	HGNC	252
C111832	HGNC	6693
C111836	HGNC	9402
