CHEBI	PUBCHEM
2551	223438909
2552	223438910
2555	24775878
2560	223438911
2564	170474141
2565	223438912
2566	53801303
2567	53801179
2568	223438913
2569	87246411
2571	223438541
2573	223438914
2575	223438915
2578	223438916
2579	223438917
2586	223438918
2588	223438919
2590	223438920
2592	223438921
2596	223438922
2598	223438923
2599	223438924
2600	164174529
2606	223438925
2607	223438542
2608	223438926
2609	223438927
2610	223438928
2611	22396017
2612	223438929
2613	223438930
2614	223438931
2615	223438932
2617	8145892
2618	8147192
2619	8145891
2620	8145890
2621	22396016
2622	8146424
2623	8145889
2624	22396015
2625	8145888
2626	223438933
2627	104222117
2628	87246405
2629	223438934
2630	24775877
2631	160962723
2632	223438935
2635	223438936
2636	50139273
2637	11533325
2638	24434811
2639	53801302
2640	53801184
2645	223438937
2653	24775876
2654	87322622
2661	223438938
2663	8145887
2665	24775869
2666	11534105
2668	87322623
2669	87246412
2670	8147044
2671	223438939
2672	223438940
2673	11533324
2674	53801183
2675	87322624
2676	56464141
2678	223438941
2680	223438942
2681	223438943
2682	87322625
2685	223438944
2687	11533500
2688	223438945
2689	223438946
2691	26697397
2696	223438947
2697	223438948
2698	223438949
2699	223438950
2700	11534104
2701	223438951
2702	223438952
2704	87351875
2705	223438953
2706	223438954
2707	223438955
2708	223438956
2710	8145886
2716	223438538
2718	223438957
2719	49658676
2721	223438958
2722	223438959
2723	223438960
2724	223438961
2725	223438962
2726	223438963
2727	223438964
2729	223438965
2730	223438966
2733	223438967
2734	223438968
2735	223438969
2738	223438970
2739	56464162
2740	223438971
2741	223438972
2742	223438973
2743	223438974
2744	223438975
2745	223438976
2746	223438977
2747	8145885
2748	8145884
2750	223438978
2755	17487304
2756	17487272
2759	223438979
2760	8145883
2761	26675641
2762	223438258
2764	223438980
2765	223438981
2766	135610169
2767	223438982
2769	223438983
2772	223438984
2777	223438985
2780	223438986
2781	8145882
2783	223438987
2785	223438988
2787	223438989
2788	87351876
2789	87351877
2790	121269842
2791	8147043
2795	223438990
2801	223438991
2803	223438992
2804	223438993
2805	160962744
2807	85240152
2808	223438994
2809	223438995
2810	223438996
2811	223438997
2812	223438998
2813	223438999
2814	164174530
2815	223439000
2817	223439001
2818	223439002
2819	223439003
2820	223439004
2821	223439005
2822	223439006
2823	223439007
2825	135610160
2826	223439008
2827	223439009
2828	223439010
2829	223439011
2840	223439012
2841	223439013
2842	223439014
2848	93581325
2849	223439015
2850	223439016
2851	223439017
2852	223439018
2853	87351878
2856	223439019
2862	223439020
2864	223439021
2866	26697411
2867	223439022
2869	223439023
2870	223439024
2871	223439025
2872	223439026
2873	162169154
2874	223439027
2877	56464099
2878	223439028
2879	223439029
2880	223439030
2881	164174531
2882	223439031
2883	223439032
2884	223439033
2885	223439034
2886	223439035
2887	223439036
2888	223439037
2896	87350404
2897	160962745
2898	223439038
2899	171571837
2900	223439039
2901	223439040
2902	223439041
2903	223439042
2904	93165412
2905	223439043
2906	223439044
2908	223438539
2909	14717858
2911	53801143
2913	223439045
2914	87351879
2915	87351880
2920	223439046
2921	223439047
2922	87351881
2923	223439048
2925	223439049
2927	223439050
2928	223439051
2929	223439052
2930	223439053
2931	223439054
2932	223439055
2933	223439056
2934	8145881
2936	223439057
2937	163626644
2938	163626645
2939	223439058
2940	223439059
2941	223439060
2942	24775868
2943	223439061
2944	223439062
2945	170474137
2946	87350405
2947	87351882
2948	11533962
2950	87350406
2951	87351883
2952	223439063
2953	24775694
2955	56352923
2956	57269569
2959	26676112
2961	223439064
2962	223438540
2965	223439065
2966	223439066
2967	223439067
2968	57269568
2969	57269584
2971	8145880
2972	56464444
2976	223439068
2978	223439069
2979	8147158
2980	11533320
2981	8147041
2982	223439070
2983	223439071
2984	223439072
2985	223439073
2986	223439074
2987	223439075
2988	223439076
2989	223439077
2990	223439078
2991	163626646
2992	8145879
2994	171571838
2996	223439079
2997	223439080
2998	223439081
2999	8147040
3000	22396014
3001	26697544
3002	26697415
3004	223439082
3005	8147039
3006	223439083
3007	223439084
3008	160962724
3010	223439085
3011	11533499
3012	223439086
3013	92729930
3014	24775871
3015	49742913
3016	223439087
3017	223439088
3018	223438535
3020	87246419
3023	11533498
3024	121269874
3032	92740984
3038	223439089
3040	223439090
3043	223439091
3044	92740969
3047	92740970
3048	92729931
3049	92740985
3056	223439092
3057	223439093
3058	223439094
3060	223439095
3061	85096584
3063	223439096
3065	223439097
3070	223439098
3077	46530919
3078	56394869
3079	22396013
3080	223439099
3081	223439100
3082	92729932
3084	92729933
3085	92740986
3086	160962746
3087	160644648
3088	223438536
3089	26744232
3090	56353036
3092	85305365
3093	125258677
3094	223439101
3095	11533497
3096	223438537
3097	223439102
3103	99319068
3104	8146423
3110	53801301
3112	92729934
3115	223439103
3121	135668166
3122	223439124
3127	56464171
3128	56464177
3129	223439125
3131	11533319
3133	92740965
3134	92740971
3136	135610153
3138	223439126
3139	8147375
3141	223439127
3146	85164706
3147	223439128
3148	223439129
3149	223439130
3151	223439131
3153	223439132
3154	223439133
3155	223439134
3156	223439135
3157	8145876
3158	223439136
3159	24434921
3161	223439137
3162	8146422
3163	92740972
3164	223439138
3165	93581329
3167	223439139
3168	223439140
3170	57269559
3171	223439141
